Dataset,MajorityClass,Cropland,Bareland,Built-up,Water,Forest,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Grassland,230,100,142,123,461,367,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Non_Wetland,2,0,1,1,6,11,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Bareland,56,0,42,19,65,19,343,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Built-up,58,73,0,29,213,14,363,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Water,169,170,23,0,802,1028,1567,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Forest,135,81,193,218,0,454,1408,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Shrubland,11,9,16,7,29,12,64,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Wetland,413,21,50,521,961,0,2150,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Cropland,0,20,58,16,93,39,310,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Lichens_and_Mosses,0,0,0,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNR_M_R,Non_Wetland,0,1,1,2,4,21,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNR_M_R,Shrubland,0,7,14,11,29,34,56,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNR_M_R,Grassland,0,118,126,317,487,734,0,44,0,0,0,0
