Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Shrubland,242,65,146,11,86,58,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Grassland,0,114,182,0,39,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Bareland,187,61,50,0,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Forest,443,122,0,27,43,26,58,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Non_Wetland,2,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Cropland,457,0,260,0,172,113,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Wetland,49,0,44,0,2,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Built-up,183,54,73,0,72,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Water,159,3,267,40,73,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLL_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLL_M_R,Shrubland,0,0,0,0,0,0,0,75,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLL_M_R,Grassland,0,0,0,13,0,0,4,40,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLL_M_R,Wetland,0,0,0,0,0,0,2,62,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLL_M_R,Forest,0,0,0,79,0,0,83,309,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLL_M_R,Water,0,0,0,132,0,0,0,119,0,0,0
