Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Wetland,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R,Grassland,235,43,55,11,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R,Non_Wetland,4,1,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R,Bareland,27,0,13,0,0,0,53,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R,Built-up,84,22,0,3,0,0,90,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R,Water,359,116,6,0,7,0,206,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R,Forest,0,16,29,49,6,0,234,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R,Shrubland,18,3,5,0,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R,Wetland,118,35,3,38,0,0,121,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R,Cropland,23,0,2,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,Grassland,69,81,38,16,51,0,0,27,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,Non_Wetland,1,2,0,1,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,Bareland,1,0,10,2,1,0,55,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,Built-up,12,41,0,6,5,0,61,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,Water,97,14,6,0,174,0,365,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,Forest,0,92,36,89,209,0,460,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,Shrubland,3,6,3,1,3,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,Wetland,35,13,3,36,0,0,138,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,Cropland,2,6,1,0,1,0,22,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,Grassland,0,0,0,12,53,0,0,0,217,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,Forest,0,0,0,48,144,0,0,0,404,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,Shrubland,0,0,0,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,Wetland,0,0,0,4,0,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,Water,0,0,0,0,192,0,0,0,280,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,Bareland,0,0,0,1,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,Built-up,0,0,0,1,8,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,Cropland,0,0,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,Non_Wetland,0,1,0,0,6,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,Forest,0,159,22,92,290,1,309,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,Grassland,58,190,51,32,163,2,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,Shrubland,0,18,4,1,8,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,Built-up,2,90,0,5,12,1,58,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,Bareland,0,0,2,0,3,0,4,0,0,0,0
