Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Grassland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Grassland,293,48,32,1,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Non_Wetland,7,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Cropland,113,15,7,0,0,135,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Wetland,289,12,2,0,68,541,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Bareland,199,0,23,0,24,328,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Built-up,142,57,0,2,12,212,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Water,508,110,8,103,0,776,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Non_Water,1,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Shrubland,18,3,7,1,1,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Lichens_and_Mosses,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Forest,0,101,93,12,100,769,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRC_M_R,Permanent_ice_and_snow,2,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Non_Wetland,3,3,0,6,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Grassland,164,225,46,133,92,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Cropland,33,22,0,10,3,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Bareland,152,0,22,12,84,221,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Built-up,49,125,0,40,32,76,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Water,316,109,16,300,0,240,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Forest,0,369,78,402,344,511,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Wetland,120,63,1,0,254,130,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Non_Water,1,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Shrubland,8,11,6,5,8,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Lichens_and_Mosses,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRC_M_R,Permanent_ice_and_snow,3,1,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,Grassland,0,0,0,54,10,0,325,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,Wetland,0,0,0,0,18,0,238,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,Forest,0,0,0,248,71,0,1065,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,Water,0,0,0,278,0,0,557,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,Shrubland,0,0,0,0,0,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,Bareland,0,0,0,24,8,0,83,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,Built-up,0,0,0,11,0,0,88,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,Cropland,0,0,0,3,1,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Non_Wetland,0,2,0,11,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Bareland,1,0,20,64,15,125,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Forest,0,523,150,725,230,665,0,223,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Grassland,18,275,88,185,20,0,0,56,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Non_Water,0,1,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Water,19,283,10,583,0,148,0,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Shrubland,0,14,4,17,3,9,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Built-up,3,167,0,47,10,114,0,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Cropland,7,46,3,17,0,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Wetland,7,65,3,0,194,122,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Lichens_and_Mosses,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRC_M_R,Permanent_ice_and_snow,0,5,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRC_M_R,Grassland,0,0,0,0,53,0,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRC_M_R,Bareland,0,0,0,0,55,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRC_M_R,Water,0,0,0,0,0,0,0,0,246,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRC_M_R,Forest,0,0,0,0,261,0,0,0,116,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRC_M_R,Wetland,0,0,0,0,211,0,0,0,145,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRC_M_R,Shrubland,0,0,0,0,1,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRC_M_R,Built-up,0,0,0,0,15,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRC_M_R,Cropland,0,0,0,0,3,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRC_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRC_M_R,Grassland,146,84,135,54,10,0,0,42,0,343,40,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRC_M_R,Built-up,36,11,0,11,0,46,0,6,0,118,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRC_M_R,Forest,0,297,219,248,71,290,0,61,0,512,63,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRC_M_R,Wetland,35,39,9,0,18,9,0,0,0,61,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRC_M_R,Bareland,67,0,151,24,8,65,0,8,0,199,34,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRC_M_R,Water,152,220,97,278,0,86,0,1,0,271,13,0
