Dataset,MajorityClass,Grassland,Shrubland,Wetland,Built-up,Cropland,Forest,Bareland,Water,Permanent_ice_and_snow,Non_Wetland
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBV_M_R,Bareland,1,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBV_M_R,Built-up,1,1,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBV_M_R,Water,2,1,1,1,1,1,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBV_M_R,Forest,5,5,1,2,3,0,3,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBV_M_R,Grassland,0,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBV_M_R,Cropland,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBV_M_R,Wetland,0,0,0,0,0,1,2,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBV_M_R,Water,0,0,0,1,0,1,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBV_M_R,Grassland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBV_M_R,Cropland,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBV_M_R,Bareland,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBV_M_R,Forest,0,0,2,4,0,0,0,7,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBV_M_R,Wetland,1,0,0,0,0,3,1,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBV_M_R,Forest,1,0,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBV_M_R,Built-up,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBV_M_R,Water,0,0,0,0,0,2,1,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBV_M_R,Bareland,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBV_M_R,Water,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBV_M_R,Forest,0,0,1,0,0,0,0,1,0,2
