Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Shrubland,43,9,8,3,5,2,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Grassland,0,128,87,39,43,53,239,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Non_Wetland,5,0,5,1,1,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Bareland,133,21,3,0,15,7,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Built-up,210,77,1,68,0,13,192,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Water,570,41,187,309,13,0,527,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Forest,780,166,101,219,86,123,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Wetland,192,3,0,41,0,70,160,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Cropland,673,0,82,187,144,110,487,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXQ_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,Non_Wetland,2,0,8,0,0,1,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,Grassland,0,0,153,70,39,119,123,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,Bareland,79,0,30,0,10,89,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,Forest,432,0,627,205,102,477,0,164,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,Non_Water,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,Wetland,50,0,0,21,0,249,33,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,Water,144,0,247,50,5,0,89,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,Shrubland,18,0,8,9,3,8,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,Cropland,499,0,230,203,159,153,278,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXQ_M_R,Built-up,124,0,31,99,0,19,31,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,Forest,721,81,661,619,61,227,0,76,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,Non_Wetland,5,0,8,5,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,Grassland,0,38,144,146,22,42,75,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,Non_Water,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,Water,329,2,317,477,9,0,76,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,Shrubland,25,3,11,16,2,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,Cropland,442,0,179,459,115,80,154,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,Wetland,241,0,0,65,0,116,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,Built-up,109,11,31,206,0,5,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXQ_M_R,Bareland,12,0,1,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXQ_M_R,Grassland,0,0,71,0,0,44,0,0,359,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXQ_M_R,Wetland,0,0,0,0,0,9,0,0,180,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXQ_M_R,Forest,0,0,226,0,0,153,0,0,1165,0,0,0
