Dataset,MajorityClass,Forest,Bareland,Grassland,Water,Wetland,Non_Wetland,Shrubland,Cropland,Non_Water,Built-up,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R,Grassland,52,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R,Non_Wetland,4,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R,Wetland,179,43,339,139,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R,Bareland,27,0,20,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R,Water,283,56,261,0,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R,Shrubland,12,0,13,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R,Cropland,0,0,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R,Built-up,4,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R,Forest,0,9,143,67,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,Grassland,0,0,0,0,15,71,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,Wetland,0,0,0,3,0,114,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,Forest,0,0,0,44,132,432,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,Water,0,0,0,0,330,279,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,Shrubland,0,0,0,0,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,Bareland,0,0,0,0,16,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,Grassland,17,23,0,13,55,0,1,0,0,0,0
