Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Wetland,Bareland,Non_Water,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MYB_M_R,Shrubland,3,1,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYB_M_R,Grassland,0,2,28,12,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYB_M_R,Cropland,42,0,16,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYB_M_R,Wetland,94,1,43,63,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYB_M_R,Bareland,9,0,7,7,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYB_M_R,Built-up,19,0,18,6,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYB_M_R,Water,145,0,102,0,18,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYB_M_R,Forest,99,11,0,46,12,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYB_M_R,Shrubland,0,0,0,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYB_M_R,Grassland,0,0,0,42,0,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYB_M_R,Cropland,0,0,0,24,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYB_M_R,Wetland,0,0,0,86,0,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYB_M_R,Bareland,0,0,0,8,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYB_M_R,Built-up,0,0,0,10,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYB_M_R,Water,0,0,0,0,0,0,143,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYB_M_R,Forest,0,0,0,90,0,0,56,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYB_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYB_M_R,Bareland,0,0,0,2,6,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYB_M_R,Wetland,0,0,0,2,0,0,0,46,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYB_M_R,Grassland,0,0,0,5,12,0,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYB_M_R,Forest,0,0,0,18,31,0,0,57,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYB_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYB_M_R,Water,0,0,0,0,57,0,0,27,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYB_M_R,Cropland,0,0,0,0,5,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYB_M_R,Water,36,23,45,0,57,48,0,0,62,16,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYB_M_R,Cropland,5,3,8,0,5,8,0,0,19,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYB_M_R,Wetland,3,2,5,2,0,6,0,0,17,2,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYB_M_R,Bareland,0,0,2,2,6,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYB_M_R,Built-up,7,0,6,1,0,2,0,0,11,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYB_M_R,Forest,32,31,0,18,31,44,0,0,62,27,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYB_M_R,Grassland,0,5,15,5,12,14,0,0,26,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYB_M_R,Wetland,0,14,30,28,0,14,0,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYB_M_R,Water,0,36,62,0,43,27,0,0,0,21,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYB_M_R,Grassland,0,16,34,20,22,0,0,0,0,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYB_M_R,Forest,0,30,0,44,41,5,0,0,0,11,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYB_M_R,Built-up,0,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYB_M_R,Cropland,0,6,10,6,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYB_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYB_M_R,Water,44,0,76,0,26,29,0,0,0,57,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYB_M_R,Wetland,24,0,36,18,0,12,0,0,0,32,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYB_M_R,Forest,22,0,0,25,7,0,0,0,0,19,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYB_M_R,Grassland,0,0,12,5,4,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYB_M_R,Built-up,0,0,5,2,0,0,0,0,0,1,0,0
