Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Cropland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R,Shrubland,3,3,1,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R,Grassland,0,39,9,23,44,7,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R,Cropland,58,30,7,18,33,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R,Wetland,70,26,0,58,59,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R,Bareland,102,0,2,69,86,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R,Built-up,17,14,0,12,19,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R,Water,191,146,14,0,165,17,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R,Forest,118,86,32,72,0,12,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUG_M_R,Permanent_ice_and_snow,5,2,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUG_M_R,Shrubland,0,0,0,3,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUG_M_R,Grassland,0,0,0,54,0,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUG_M_R,Cropland,0,0,0,22,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUG_M_R,Wetland,0,0,0,65,0,0,0,33,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUG_M_R,Bareland,0,0,0,95,0,0,0,66,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUG_M_R,Built-up,0,0,0,10,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUG_M_R,Water,0,0,0,0,0,0,0,213,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUG_M_R,Forest,0,0,0,120,0,0,0,69,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUG_M_R,Water,82,52,62,0,104,56,67,0,104,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUG_M_R,Cropland,15,8,7,1,27,0,0,0,46,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUG_M_R,Wetland,7,3,0,0,15,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUG_M_R,Bareland,42,0,48,15,53,26,40,0,63,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUG_M_R,Built-up,11,5,0,1,12,1,6,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUG_M_R,Forest,61,44,46,25,0,37,52,0,89,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUG_M_R,Grassland,0,19,16,6,32,11,18,0,51,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUG_M_R,Permanent_ice_and_snow,2,2,0,0,4,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUG_M_R,Grassland,0,14,15,44,45,26,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUG_M_R,Water,0,109,62,0,80,64,35,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUG_M_R,Wetland,0,17,21,29,27,0,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUG_M_R,Built-up,0,1,0,5,2,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUG_M_R,Forest,0,37,52,65,0,47,39,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUG_M_R,Bareland,0,0,31,60,36,5,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUG_M_R,Cropland,0,12,13,11,16,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUG_M_R,Permanent_ice_and_snow,0,0,1,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUG_M_R,Wetland,0,0,0,0,0,0,0,0,0,46,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUG_M_R,Water,0,0,0,0,0,56,0,0,0,55,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUG_M_R,Forest,0,0,0,25,0,37,0,0,0,64,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUG_M_R,Bareland,0,0,0,15,0,26,0,0,0,7,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUG_M_R,Built-up,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUG_M_R,Grassland,0,0,0,6,0,11,0,0,0,37,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUG_M_R,Cropland,0,0,0,1,0,0,0,0,0,13,0
