Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Wetland,Non_Water,Shrubland,Cropland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R,Shrubland,3,1,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R,Grassland,0,1,0,11,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R,Cropland,8,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R,Wetland,22,1,0,14,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R,Bareland,5,0,1,3,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R,Built-up,10,5,0,10,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R,Water,60,12,0,40,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R,Forest,54,4,0,0,20,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDD_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,Shrubland,0,0,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,Grassland,0,0,0,0,21,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,Wetland,0,0,0,0,31,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,Built-up,0,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,Water,0,0,0,0,0,0,45,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,Forest,0,0,0,0,50,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDD_M_R,Bareland,0,0,0,0,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,Water,22,3,0,23,0,43,0,32,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,Cropland,2,0,0,4,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,Bareland,4,0,0,0,0,3,0,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,Built-up,5,3,0,3,0,0,0,8,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,Forest,31,10,9,0,10,24,0,33,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,Grassland,0,1,2,9,1,4,0,7,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,Wetland,1,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDD_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDD_M_R,Grassland,0,0,0,0,1,4,0,0,0,5,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDD_M_R,Forest,0,0,0,0,10,24,0,0,0,20,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDD_M_R,Water,0,0,0,0,0,43,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDD_M_R,Wetland,0,0,0,0,1,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDD_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDD_M_R,Grassland,0,2,9,10,6,1,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDD_M_R,Wetland,0,3,3,10,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDD_M_R,Water,0,12,16,27,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDD_M_R,Bareland,0,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDD_M_R,Forest,0,4,22,0,21,11,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDD_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDD_M_R,Water,9,19,0,50,0,1,0,0,2,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDD_M_R,Wetland,8,3,0,33,16,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDD_M_R,Forest,6,2,0,0,9,2,0,0,3,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDD_M_R,Grassland,0,0,0,11,3,1,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDD_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDD_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
