Dataset,MajorityClass,Forest,Wetland,Bareland,Grassland,Water,Cropland,Non_Wetland,Built-up,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NYA_M_R,Grassland,8,5,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYA_M_R,Wetland,90,0,59,121,32,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYA_M_R,Non_Wetland,0,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYA_M_R,Water,106,28,68,106,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYA_M_R,Shrubland,10,3,8,11,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYA_M_R,Forest,0,15,19,99,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYA_M_R,Built-up,2,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYA_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYA_M_R,Grassland,0,15,0,0,3,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYA_M_R,Wetland,0,0,0,0,17,0,52,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYA_M_R,Shrubland,0,0,0,0,0,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYA_M_R,Forest,0,109,0,0,39,0,190,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYA_M_R,Water,0,115,0,0,0,0,45,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYA_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYA_M_R,Grassland,31,13,0,0,8,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYA_M_R,Wetland,37,0,0,94,98,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYA_M_R,Non_Wetland,1,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYA_M_R,Water,53,92,0,51,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYA_M_R,Shrubland,9,6,0,6,3,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYA_M_R,Forest,0,150,0,72,94,0,0,11,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYA_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYA_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYA_M_R,Non_Wetland,0,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYA_M_R,Grassland,5,17,0,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYA_M_R,Shrubland,0,11,0,9,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYA_M_R,Wetland,3,0,0,71,137,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYA_M_R,Forest,0,71,0,171,128,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYA_M_R,Water,13,57,0,62,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYA_M_R,Built-up,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYA_M_R,Grassland,26,15,1,0,3,0,0,4,63,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYA_M_R,Wetland,20,0,0,0,17,0,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYA_M_R,Forest,0,109,12,8,39,1,0,26,111,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYA_M_R,Water,56,115,0,0,0,0,0,2,56,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYA_M_R,Bareland,0,0,0,0,0,0,0,1,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYA_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYA_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYA_M_R,Grassland,0,0,0,0,12,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYA_M_R,Wetland,0,0,0,0,58,0,0,0,0,0,49,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYA_M_R,Water,0,0,0,0,0,0,0,0,0,0,102,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYA_M_R,Forest,0,0,0,0,77,0,0,0,0,0,51,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYA_M_R,Water,10,27,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYA_M_R,Grassland,10,0,0,0,2,0,0,3,0,0,0,0
