Dataset,MajorityClass,Grassland,Forest,Bareland,Water,Wetland,Shrubland,Non_Wetland,Built-up,Non_Water,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NYB_M_R,Shrubland,37,15,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYB_M_R,Grassland,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYB_M_R,Wetland,42,80,5,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYB_M_R,Forest,102,0,5,61,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYB_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYB_M_R,Water,18,178,36,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYB_M_R,Built-up,3,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYB_M_R,Cropland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYB_M_R,Shrubland,8,3,0,1,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYB_M_R,Grassland,0,3,0,0,20,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYB_M_R,Wetland,12,6,0,9,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYB_M_R,Forest,82,0,0,105,220,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYB_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYB_M_R,Water,13,68,0,0,147,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYB_M_R,Built-up,6,0,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYB_M_R,Cropland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYB_M_R,Shrubland,0,0,0,0,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYB_M_R,Grassland,0,0,0,0,3,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYB_M_R,Wetland,0,0,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYB_M_R,Forest,0,0,0,38,115,0,296,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYB_M_R,Bareland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYB_M_R,Built-up,0,0,0,0,1,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYB_M_R,Water,0,0,0,0,115,0,90,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYB_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYB_M_R,Grassland,0,14,0,0,3,41,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYB_M_R,Forest,10,0,3,38,115,156,0,16,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYB_M_R,Wetland,0,4,0,0,0,22,0,0,0,0,0
