Dataset,MajorityClass,Grassland,Forest,Built-up,Cropland,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R,Shrubland,137,85,43,36,25,7,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R,Grassland,0,257,66,172,49,32,59,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R,Non_Wetland,12,10,0,3,3,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R,Bareland,164,71,81,40,1,0,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R,Built-up,270,249,0,142,0,90,31,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R,Water,972,927,29,190,273,208,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R,Forest,1091,0,248,356,125,90,365,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R,Cropland,852,591,266,0,77,185,143,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R,Wetland,358,270,5,56,0,3,183,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFF_M_R,Non_Water,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,Non_Wetland,4,2,0,0,21,0,4,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,Shrubland,60,29,8,0,52,20,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,Grassland,0,219,29,0,256,42,93,58,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,Cropland,703,385,198,0,561,261,216,177,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,Bareland,104,16,43,0,16,0,68,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,Forest,670,0,82,0,894,223,479,344,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,Non_Water,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,Wetland,55,120,0,0,0,0,258,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,Water,410,516,78,0,599,95,0,42,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFF_M_R,Built-up,163,79,0,0,45,131,56,73,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFF_M_R,Wetland,0,0,0,0,0,0,63,0,805,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFF_M_R,Grassland,0,0,0,0,57,0,50,0,533,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFF_M_R,Forest,0,0,0,0,231,0,203,0,1762,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFF_M_R,Water,0,0,0,0,350,0,0,0,896,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFF_M_R,Shrubland,0,0,0,0,0,0,0,0,114,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFF_M_R,Cropland,0,0,0,0,54,0,71,0,897,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFF_M_R,Bareland,0,0,0,0,2,0,51,0,24,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFF_M_R,Built-up,0,0,0,0,3,0,23,0,110,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,Non_Wetland,4,2,0,3,15,3,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,Grassland,0,77,30,87,240,172,2,84,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,Wetland,12,53,1,10,0,65,58,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,Forest,487,0,64,253,965,723,117,403,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,Water,53,368,110,46,916,821,0,164,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,Shrubland,42,10,6,16,37,52,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,Cropland,476,166,194,0,385,505,11,97,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,Built-up,112,53,0,42,68,266,0,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFF_M_R,Bareland,14,1,15,12,8,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFF_M_R,Water,0,0,0,0,0,0,0,0,0,658,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFF_M_R,Forest,0,0,0,0,0,0,502,0,0,281,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFF_M_R,Grassland,0,0,0,0,0,0,188,0,0,60,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFF_M_R,Wetland,0,0,0,0,0,0,249,0,0,226,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFF_M_R,Shrubland,0,0,0,0,0,0,13,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFF_M_R,Cropland,0,0,0,0,0,0,193,0,0,72,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFF_M_R,Bareland,0,0,0,0,0,0,35,0,0,17,0
