Dataset,MajorityClass,Forest,Bareland,Water,Wetland,Grassland,Non_Wetland,Shrubland,Cropland,Built-up,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFV_M_R,Grassland,5,1,2,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFV_M_R,Non_Wetland,1,0,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFV_M_R,Bareland,1,0,23,6,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFV_M_R,Shrubland,2,1,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFV_M_R,Wetland,4,1,31,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFV_M_R,Built-up,5,3,7,9,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFV_M_R,Water,9,4,0,57,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFV_M_R,Forest,0,21,68,101,50,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFV_M_R,Non_Wetland,1,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFV_M_R,Shrubland,0,5,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFV_M_R,Grassland,0,19,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFV_M_R,Wetland,3,17,20,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFV_M_R,Bareland,0,0,4,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFV_M_R,Built-up,0,14,5,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFV_M_R,Water,7,48,0,48,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFV_M_R,Forest,0,104,37,80,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFV_M_R,Wetland,0,0,2,0,0,68,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFV_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFV_M_R,Grassland,0,0,1,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFV_M_R,Bareland,0,0,1,3,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFV_M_R,Built-up,0,0,0,0,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFV_M_R,Forest,0,0,9,16,0,164,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFV_M_R,Water,0,0,0,18,0,69,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFV_M_R,Grassland,2,0,1,0,0,0,3,1,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFV_M_R,Wetland,9,14,2,0,15,0,12,0,6,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFV_M_R,Water,24,28,0,18,21,0,21,0,19,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFV_M_R,Bareland,3,0,1,3,5,0,6,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFV_M_R,Forest,0,40,9,16,55,0,41,18,30,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFV_M_R,Built-up,5,3,0,0,5,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFV_M_R,Water,5,13,0,19,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFV_M_R,Bareland,1,0,4,2,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFV_M_R,Wetland,23,2,33,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFV_M_R,Grassland,2,0,4,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFV_M_R,Forest,0,0,54,11,0,0,0,0,24,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFV_M_R,Wetland,64,3,10,0,8,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFV_M_R,Forest,0,0,2,0,4,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFV_M_R,Water,61,17,0,4,0,0,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFV_M_R,Bareland,10,0,2,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFV_M_R,Grassland,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFV_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0
