Dataset,MajorityClass,Non_Wetland,Water,Wetland,Bareland,Grassland,Forest,Built-up,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKV_M_R,Wetland,1047,69,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKV_M_R,Grassland,791,24,96,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKV_M_R,Forest,1227,42,311,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKV_M_R,Bareland,401,48,176,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKV_M_R,Built-up,253,6,78,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKV_M_R,Shrubland,23,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKV_M_R,Water,322,0,262,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKV_M_R,Cropland,98,3,51,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKV_M_R,Permanent_ice_and_snow,11,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKV_M_R,Non_Wetland,0,1,8,2,3,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKV_M_R,Grassland,0,66,235,149,0,171,100,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKV_M_R,Cropland,0,11,48,10,107,36,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKV_M_R,Wetland,0,623,0,307,738,285,109,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKV_M_R,Bareland,0,204,168,0,188,68,140,0,0,0,0
