Dataset,MajorityClass,Grassland,Bareland,Forest,Water,Built-up,Wetland,Non_Water,Shrubland,Cropland,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19NCD_M_R,Shrubland,2,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCD_M_R,Grassland,0,1,18,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCD_M_R,Cropland,9,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCD_M_R,Wetland,37,0,26,28,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCD_M_R,Bareland,7,0,3,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCD_M_R,Built-up,9,2,13,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCD_M_R,Water,53,9,47,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCD_M_R,Forest,51,3,0,23,1,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCD_M_R,Shrubland,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCD_M_R,Grassland,0,0,0,24,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCD_M_R,Wetland,0,0,0,43,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCD_M_R,Built-up,0,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCD_M_R,Water,0,0,0,0,0,0,56,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCD_M_R,Forest,0,0,0,48,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCD_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCD_M_R,Bareland,0,0,0,6,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCD_M_R,Water,23,3,26,0,8,45,0,25,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCD_M_R,Cropland,2,1,4,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCD_M_R,Built-up,7,4,2,0,0,1,0,8,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCD_M_R,Forest,25,10,0,10,11,30,0,33,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCD_M_R,Grassland,0,0,13,2,2,10,0,14,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCD_M_R,Wetland,1,1,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCD_M_R,Bareland,2,0,3,0,0,9,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCD_M_R,Grassland,0,0,15,12,9,2,0,0,11,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCD_M_R,Wetland,0,9,14,15,7,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCD_M_R,Water,0,15,27,0,11,10,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCD_M_R,Forest,0,0,0,26,20,10,0,0,10,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCD_M_R,Cropland,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCD_M_R,Bareland,0,0,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCD_M_R,Grassland,0,0,0,2,0,10,0,0,0,3
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCD_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCD_M_R,Water,0,0,0,0,0,45,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCD_M_R,Forest,0,0,0,10,0,30,0,0,0,13
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCD_M_R,Wetland,0,0,0,1,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCD_M_R,Bareland,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCD_M_R,Water,16,23,49,0,0,4,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCD_M_R,Wetland,14,7,33,23,0,0,0,0,9,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCD_M_R,Forest,11,3,0,8,0,2,0,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCD_M_R,Grassland,0,1,9,3,0,1,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCD_M_R,Cropland,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCD_M_R,Built-up,0,0,4,0,0,0,0,0,0,0
