Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Cropland,Grassland,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R,Grassland,139,26,51,30,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R,Non_Wetland,1,0,1,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R,Wetland,41,0,0,0,0,35,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R,Bareland,16,0,0,3,0,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R,Water,199,15,71,0,0,148,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R,Shrubland,3,0,1,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R,Cropland,41,2,7,7,0,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R,Built-up,19,0,1,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGL_M_R,Forest,0,14,2,5,1,133,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,Grassland,30,32,25,0,0,0,16,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,Non_Wetland,2,0,0,0,0,3,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,Wetland,5,0,0,0,0,33,2,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,Bareland,3,2,0,0,0,44,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,Water,48,95,0,0,0,226,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,Forest,0,213,12,0,0,322,102,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,Shrubland,3,1,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,Cropland,7,1,5,0,0,77,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGL_M_R,Built-up,0,0,25,0,0,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGL_M_R,Grassland,0,9,0,0,0,0,21,0,202,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGL_M_R,Wetland,0,0,0,0,0,0,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGL_M_R,Forest,0,97,0,0,0,0,43,0,361,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGL_M_R,Shrubland,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGL_M_R,Cropland,0,0,0,0,0,0,2,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGL_M_R,Bareland,0,0,0,0,0,0,2,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGL_M_R,Built-up,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGL_M_R,Water,0,69,0,0,0,0,0,0,141,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,Forest,0,222,78,0,0,222,156,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,Non_Wetland,0,8,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,Grassland,8,157,122,13,0,0,65,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,Shrubland,0,8,1,0,0,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,Cropland,0,16,38,1,0,25,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,Wetland,2,0,0,0,0,15,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,Bareland,0,7,0,0,0,6,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,Built-up,0,2,15,0,0,11,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGL_M_R,Water,11,121,28,0,0,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGL_M_R,Grassland,114,9,43,58,110,0,21,64,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGL_M_R,Forest,0,97,102,19,58,91,43,65,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGL_M_R,Wetland,6,0,5,1,2,4,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGL_M_R,Bareland,9,0,0,6,17,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGL_M_R,Water,97,69,83,9,29,66,0,25,0,7,0,0
