Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Cropland,Grassland,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGL_M_R,Cropland,10,0,1,7,0,1,2,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGL_M_R,Built-up,4,0,1,0,9,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGL_M_R,Grassland,0,0,0,0,0,0,40,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGL_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGL_M_R,Water,0,0,0,0,0,0,0,0,0,0,72,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGL_M_R,Wetland,0,0,0,0,0,0,5,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGL_M_R,Forest,0,0,0,0,0,0,80,0,0,0,48,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGL_M_R,Grassland,53,0,0,39,145,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGL_M_R,Forest,0,2,0,13,65,0,154,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGL_M_R,Water,13,0,1,1,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGL_M_R,Bareland,2,0,0,3,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGL_M_R,Wetland,19,0,0,0,0,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGL_M_R,Cropland,4,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGL_M_R,Forest,0,1,13,0,29,13,9,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGL_M_R,Wetland,69,0,0,0,3,4,11,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGL_M_R,Bareland,5,0,0,0,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGL_M_R,Built-up,2,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGL_M_R,Water,156,1,3,0,1,5,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGL_M_R,Grassland,123,10,42,0,56,0,71,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGL_M_R,Cropland,4,0,3,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGL_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
