Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MDC_M_R,Grassland,168,54,22,39,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDC_M_R,Non_Wetland,3,1,0,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDC_M_R,Wetland,144,0,0,7,41,154,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDC_M_R,Bareland,28,0,5,0,1,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDC_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDC_M_R,Water,316,272,1,31,0,189,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDC_M_R,Shrubland,10,4,2,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDC_M_R,Forest,0,140,2,12,103,316,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDC_M_R,Built-up,19,0,0,0,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDC_M_R,Cropland,12,0,4,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDC_M_R,Non_Wetland,4,3,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDC_M_R,Grassland,72,97,0,62,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDC_M_R,Wetland,70,0,0,12,144,85,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDC_M_R,Bareland,19,10,0,0,2,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDC_M_R,Forest,0,423,0,68,220,268,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDC_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDC_M_R,Water,161,333,0,7,0,100,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDC_M_R,Shrubland,3,5,0,3,2,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDC_M_R,Built-up,5,12,0,10,9,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDC_M_R,Cropland,2,4,0,0,0,16,0,0,0,0,0,0
