Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Shrubland,270,54,145,30,46,45,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Grassland,0,150,267,33,36,53,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Non_Wetland,10,2,8,0,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Bareland,193,52,83,2,39,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Water,750,26,595,319,4,135,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Cropland,637,0,403,8,140,206,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Wetland,324,14,181,0,2,13,104,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Built-up,174,53,136,0,0,80,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Forest,887,223,0,153,77,129,157,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Non_Wetland,3,0,2,11,0,0,4,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Shrubland,77,0,19,62,5,21,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Grassland,0,0,87,199,18,37,82,226,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Cropland,597,0,221,228,64,124,43,456,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Wetland,148,0,6,0,0,0,197,47,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Bareland,180,0,81,15,16,0,19,74,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Built-up,115,0,13,6,0,64,2,102,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Water,443,0,118,393,0,25,0,343,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Forest,766,0,0,675,30,87,373,788,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCL_M_R,Wetland,0,0,0,0,0,0,44,0,388,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCL_M_R,Shrubland,0,0,0,0,0,0,0,0,153,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCL_M_R,Grassland,0,0,0,72,0,0,46,0,459,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCL_M_R,Cropland,0,0,0,6,0,0,22,0,384,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCL_M_R,Forest,0,0,0,197,0,0,177,0,1234,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCL_M_R,Water,0,0,0,313,0,0,0,0,552,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCL_M_R,Bareland,0,0,0,4,0,0,31,0,33,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCL_M_R,Built-up,0,0,0,0,0,0,24,0,37,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,Grassland,0,139,25,253,15,173,41,256,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,Non_Wetland,4,1,0,18,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,Wetland,135,29,9,0,0,32,216,97,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,Forest,655,208,0,670,10,459,382,752,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,Water,244,17,92,538,10,227,0,301,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,Shrubland,81,32,11,63,23,62,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,Bareland,91,57,2,17,21,0,10,27,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,Built-up,122,40,6,31,0,127,14,50,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,Cropland,474,0,32,164,54,365,44,248,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCL_M_R,Grassland,0,0,0,0,0,0,72,0,0,30,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCL_M_R,Wetland,0,0,0,0,0,0,194,0,0,135,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCL_M_R,Shrubland,0,0,0,0,0,0,21,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCL_M_R,Water,0,0,0,0,0,0,0,0,0,345,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCL_M_R,Cropland,0,0,0,0,0,0,26,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCL_M_R,Forest,0,0,0,0,0,0,236,0,0,178,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCL_M_R,Bareland,0,0,0,0,0,0,3,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCL_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,Grassland,0,369,264,72,77,26,46,568,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,Wetland,3,14,112,0,1,5,44,142,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,Bareland,12,198,60,4,59,0,31,203,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,Built-up,6,147,20,0,0,5,24,146,0,0,0
