Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Shrubland,342,96,121,113,192,52,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Grassland,0,135,56,38,156,14,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Bareland,361,119,0,130,107,3,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Built-up,345,198,142,0,202,1,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Water,498,90,181,19,430,128,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Forest,570,215,99,117,0,109,158,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Non_Wetland,8,0,1,2,4,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Cropland,696,0,311,277,336,18,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Wetland,65,0,2,1,53,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R,Permanent_ice_and_snow,5,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMG_M_R,Shrubland,0,0,0,0,0,0,0,211,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMG_M_R,Wetland,0,0,0,0,0,0,30,375,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMG_M_R,Grassland,0,0,0,0,0,2,11,119,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMG_M_R,Forest,0,0,0,0,0,120,116,808,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMG_M_R,Water,0,0,0,0,0,133,0,347,0,0,0,0
