Dataset,MajorityClass,Grassland,Wetland,Built-up,Water,Forest,Cropland,Bareland,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18MVV_M_R,Shrubland,3,2,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVV_M_R,Grassland,0,4,0,10,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVV_M_R,Cropland,28,0,0,14,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVV_M_R,Wetland,77,0,0,58,47,2,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVV_M_R,Built-up,15,0,0,10,11,0,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVV_M_R,Water,99,24,14,0,80,4,8,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVV_M_R,Forest,85,20,10,48,0,5,4,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVV_M_R,Bareland,18,0,0,18,13,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVV_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVV_M_R,Wetland,0,0,0,1,0,0,0,27,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVV_M_R,Forest,0,41,0,14,0,0,0,58,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVV_M_R,Built-up,0,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVV_M_R,Water,0,60,0,0,0,0,0,22,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVV_M_R,Grassland,0,9,0,4,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVV_M_R,Cropland,0,1,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVV_M_R,Bareland,0,12,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVV_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVV_M_R,Grassland,0,0,0,21,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVV_M_R,Cropland,0,0,0,9,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVV_M_R,Wetland,0,0,0,69,0,0,0,0,38,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVV_M_R,Water,0,0,0,0,0,0,0,0,98,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVV_M_R,Forest,0,0,0,82,0,0,0,0,38,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVV_M_R,Bareland,0,0,0,24,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVV_M_R,Built-up,0,0,0,10,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVV_M_R,Water,16,60,18,0,66,45,21,0,0,34
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVV_M_R,Wetland,0,0,0,1,17,5,0,0,0,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVV_M_R,Built-up,7,3,0,1,9,8,4,0,0,14
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVV_M_R,Forest,19,41,13,14,0,44,22,0,0,47
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVV_M_R,Grassland,0,9,6,4,20,20,3,0,0,12
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVV_M_R,Cropland,0,1,0,0,12,0,0,0,0,11
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVV_M_R,Bareland,1,12,0,3,12,11,0,0,0,3
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVV_M_R,Water,0,37,31,0,43,0,43,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVV_M_R,Forest,0,35,26,38,0,7,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVV_M_R,Wetland,0,0,19,29,39,2,15,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVV_M_R,Grassland,0,14,12,9,16,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVV_M_R,Bareland,0,0,1,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVV_M_R,Cropland,0,6,3,6,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVV_M_R,Water,36,13,0,0,73,36,37,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVV_M_R,Wetland,25,0,0,27,42,25,11,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVV_M_R,Forest,20,6,0,14,0,17,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVV_M_R,Grassland,0,0,0,0,5,4,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVV_M_R,Built-up,0,0,0,5,6,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVV_M_R,Cropland,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVV_M_R,Bareland,0,0,0,0,1,0,0,0,0,0
