Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Water,Built-up,Cropland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Shrubland,62,77,63,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Non_Wetland,4,15,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Grassland,0,399,228,37,21,9,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Wetland,600,0,522,29,294,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Water,362,848,249,102,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Forest,359,580,0,26,86,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Cropland,191,211,137,45,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Lichens_and_Mosses,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Bareland,54,72,10,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R,Built-up,0,6,6,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,Shrubland,0,0,0,0,0,0,0,119,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,Wetland,0,0,0,0,148,0,0,1479,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,Grassland,0,131,0,0,64,0,0,855,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,Forest,0,234,0,0,119,0,0,1225,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,Water,0,312,0,0,0,0,0,616,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,Cropland,0,14,0,0,3,0,0,407,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,Bareland,0,24,0,0,4,0,0,159,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,Built-up,0,0,0,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWV_M_R,Shrubland,61,21,15,0,12,0,0,0,0,0,0
