Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVC_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
6,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Wetland,Water,Wetland,Grassland
11,NULL,NULL,Wetland,Water,Wetland,Water
12,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
15,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
16,NULL,NULL,Water,Water,Water,Grassland
17,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
18,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
19,NULL,NULL,Forest,NULL,Non_Wetland,Forest
20,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
23,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
25,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
26,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
