Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Bareland,Non_Wetland,Shrubland,Cropland,Built-up,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R,Shrubland,1,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R,Wetland,20,0,28,22,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R,Bareland,4,0,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R,Water,37,18,44,0,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R,Forest,24,8,0,15,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R,Built-up,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R,Cropland,3,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUD_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUD_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUD_M_R,Wetland,0,0,0,3,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUD_M_R,Forest,0,22,0,10,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUD_M_R,Water,0,30,0,0,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUD_M_R,Bareland,0,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUD_M_R,Water,3,30,38,0,1,0,36,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUD_M_R,Wetland,0,0,16,3,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUD_M_R,Built-up,0,0,1,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUD_M_R,Forest,3,22,0,10,3,0,30,3,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUD_M_R,Cropland,0,0,1,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUD_M_R,Bareland,0,2,0,1,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUD_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUD_M_R,Wetland,0,0,0,27,0,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUD_M_R,Water,0,0,0,0,0,0,0,0,0,44,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUD_M_R,Forest,0,0,0,22,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUD_M_R,Bareland,0,0,0,3,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUD_M_R,Grassland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUD_M_R,Water,0,41,18,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUD_M_R,Forest,0,20,0,25,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUD_M_R,Wetland,0,0,3,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUD_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUD_M_R,Bareland,0,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUD_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUD_M_R,Water,2,28,36,0,13,0,0,1,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUD_M_R,Forest,1,2,0,9,2,0,0,4,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUD_M_R,Grassland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUD_M_R,Wetland,0,0,19,15,0,0,0,0,0,0,2
