Dataset,MajorityClass,Forest,Bareland,Water,Grassland,Wetland,Built-up,Shrubland,Cropland,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_20NKF_M_R,Grassland,54,21,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKF_M_R,Bareland,5,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKF_M_R,Shrubland,2,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKF_M_R,Cropland,4,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKF_M_R,Wetland,31,4,13,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKF_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKF_M_R,Water,190,30,0,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKF_M_R,Forest,0,51,51,138,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKF_M_R,Grassland,47,20,5,0,7,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKF_M_R,Bareland,3,0,2,10,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKF_M_R,Forest,0,47,98,148,171,7,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKF_M_R,Shrubland,1,1,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKF_M_R,Cropland,2,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKF_M_R,Wetland,8,1,1,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKF_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKF_M_R,Water,58,2,0,53,136,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKF_M_R,Grassland,34,7,5,0,5,0,41,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKF_M_R,Forest,0,41,68,109,93,37,84,29,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKF_M_R,Cropland,1,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKF_M_R,Wetland,0,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKF_M_R,Bareland,4,0,1,1,1,0,3,0,0,0,0
