Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Shrubland,403,47,58,255,73,43,142,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Non_Wetland,18,4,4,12,1,0,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Grassland,0,126,77,332,50,23,124,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Bareland,382,65,0,100,41,53,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Water,1392,15,218,945,60,0,692,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Forest,1179,87,74,0,97,184,370,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Cropland,1154,0,140,482,105,84,161,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Wetland,1354,113,54,784,41,222,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Built-up,195,33,61,150,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R,Permanent_ice_and_snow,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Non_Wetland,6,0,2,6,0,6,24,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Shrubland,107,0,37,38,9,50,133,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Grassland,0,0,69,157,21,94,351,386,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Cropland,550,0,136,210,22,212,601,576,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Wetland,309,0,49,464,0,554,0,953,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Bareland,145,0,0,43,23,140,75,105,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Built-up,99,0,69,20,0,6,14,94,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Water,390,0,104,411,15,0,494,921,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Forest,654,0,158,0,80,496,683,1327,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Non_Wetland,7,3,8,1,0,3,25,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Grassland,0,161,338,43,36,88,237,378,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Wetland,269,135,498,290,4,363,0,1188,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Forest,657,131,797,0,43,301,611,1245,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Water,143,39,901,363,12,0,578,1028,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Shrubland,93,27,116,22,12,28,104,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Bareland,62,51,0,1,20,26,33,36,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Built-up,120,14,148,8,0,0,4,50,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Cropland,462,0,617,42,43,100,348,414,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFN_M_R,Shrubland,0,0,0,0,0,0,0,0,437,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFN_M_R,Wetland,0,0,0,0,0,75,0,0,908,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFN_M_R,Grassland,0,0,0,0,0,63,253,0,693,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFN_M_R,Forest,0,0,0,0,0,208,690,0,1516,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFN_M_R,Water,0,0,0,0,0,0,775,0,771,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFN_M_R,Cropland,0,0,0,0,0,83,386,0,953,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFN_M_R,Bareland,0,0,0,0,0,34,166,0,111,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFN_M_R,Built-up,0,0,0,0,0,16,2,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFN_M_R,Water,0,0,0,0,0,0,0,0,0,816,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFN_M_R,Grassland,0,0,0,0,0,254,0,0,0,73,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFN_M_R,Shrubland,0,0,0,0,0,101,0,0,0,43,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFN_M_R,Wetland,0,0,0,0,0,695,0,0,0,509,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFN_M_R,Bareland,0,0,0,0,0,135,0,0,0,75,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFN_M_R,Forest,0,0,0,0,0,578,0,0,0,348,0
