Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Cropland,Built-up,Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Shrubland,151,100,15,15,19,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Grassland,0,235,8,51,112,45,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Bareland,191,109,1,0,26,21,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Forest,576,0,56,65,99,70,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Non_Wetland,1,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Cropland,380,342,11,67,0,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Wetland,88,64,0,2,0,1,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Built-up,207,120,3,59,67,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Water,94,130,64,55,8,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Lichens_and_Mosses,1,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Permanent_ice_and_snow,5,4,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Shrubland,0,0,0,0,0,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Grassland,0,0,7,0,0,0,0,103,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Wetland,0,0,0,0,0,0,2,43,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Forest,0,0,198,0,0,0,59,364,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Built-up,0,0,0,0,0,0,2,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Water,0,0,92,0,0,0,0,52,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Cropland,0,0,10,0,0,0,10,22,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Bareland,0,0,2,0,0,0,9,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Shrubland,44,30,15,28,0,8,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Non_Wetland,0,2,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Grassland,0,129,23,122,0,96,11,0,189,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Cropland,341,196,6,172,0,112,1,0,228,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Wetland,29,39,0,2,0,1,43,0,53,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Bareland,114,67,0,0,0,32,48,0,61,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Built-up,75,35,2,84,0,0,3,0,84,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Water,48,82,32,18,0,4,0,0,46,0,0,0
