Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Forest,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R,Shrubland,3,1,2,3,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R,Grassland,0,16,30,12,42,19,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R,Cropland,136,0,41,47,90,53,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R,Wetland,158,10,0,12,115,84,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R,Lichens_and_Mosses,1,0,0,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R,Bareland,79,6,18,0,57,54,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R,Built-up,34,4,4,26,27,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R,Water,257,37,103,139,190,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R,Forest,138,45,66,75,0,79,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWR_M_R,Permanent_ice_and_snow,8,0,0,1,3,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWR_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWR_M_R,Grassland,0,0,12,0,0,8,0,85,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWR_M_R,Cropland,0,0,19,0,0,16,0,80,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWR_M_R,Bareland,0,0,16,0,0,14,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWR_M_R,Built-up,0,0,1,0,0,1,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWR_M_R,Forest,0,0,44,0,0,28,0,154,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWR_M_R,Wetland,0,0,0,0,0,13,0,188,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWR_M_R,Water,0,0,69,0,0,0,0,120,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R,Shrubland,0,0,0,0,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R,Grassland,0,0,0,0,0,85,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R,Cropland,0,0,0,0,0,109,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R,Wetland,0,0,0,0,0,168,0,0,65,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R,Bareland,0,0,0,0,0,86,0,0,47,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R,Built-up,0,0,0,0,0,29,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R,Water,0,0,0,0,0,0,0,0,259,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWR_M_R,Forest,0,0,0,0,0,192,0,0,81,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWR_M_R,Water,101,23,69,95,124,0,70,0,0,113,33,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWR_M_R,Cropland,71,0,19,44,75,16,54,0,0,63,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWR_M_R,Wetland,22,10,0,23,50,13,17,0,0,28,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWR_M_R,Bareland,41,7,16,0,45,14,40,0,0,39,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWR_M_R,Built-up,15,7,1,10,13,1,0,0,0,16,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWR_M_R,Forest,75,48,44,77,0,28,63,0,0,85,36,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWR_M_R,Grassland,0,22,12,23,36,8,23,0,0,31,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWR_M_R,Permanent_ice_and_snow,2,2,0,0,3,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWR_M_R,Water,0,147,121,76,107,0,103,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWR_M_R,Grassland,0,57,44,3,50,35,33,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWR_M_R,Wetland,0,85,0,19,58,60,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWR_M_R,Built-up,0,2,1,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWR_M_R,Forest,0,97,75,16,0,74,57,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWR_M_R,Cropland,0,0,35,3,36,26,35,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWR_M_R,Bareland,0,24,2,0,30,49,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LWR_M_R,Permanent_ice_and_snow,0,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWR_M_R,Water,65,115,49,91,132,0,0,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWR_M_R,Cropland,11,0,6,4,20,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWR_M_R,Wetland,55,55,0,33,68,48,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWR_M_R,Built-up,4,15,1,4,14,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LWR_M_R,Forest,38,42,21,33,0,28,0,0,0,0,0,7
