Dataset,MajorityClass,Wetland,Forest,Shrubland,Grassland,Bareland,Built-up,Water,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,Non_Wetland,7,2,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,Shrubland,13,8,0,17,3,6,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,Grassland,523,312,127,0,149,69,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,Wetland,0,634,110,800,110,26,807,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,Bareland,62,45,14,99,0,49,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,Built-up,61,57,5,144,109,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,Water,871,380,32,422,47,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,Forest,988,0,141,753,200,154,248,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,Cropland,26,15,3,18,4,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMT_M_R,Permanent_ice_and_snow,5,3,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R,Non_Wetland,2,3,0,8,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R,Forest,351,0,0,1081,65,82,117,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R,Shrubland,4,17,0,78,3,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R,Grassland,189,344,0,0,61,85,8,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R,Cropland,5,25,0,52,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R,Wetland,0,985,0,1756,161,40,414,162,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R,Bareland,12,53,0,164,0,32,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R,Built-up,11,168,0,287,54,0,4,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R,Water,827,583,0,787,161,7,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMT_M_R,Permanent_ice_and_snow,0,3,0,6,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,Grassland,417,117,114,0,393,105,127,45,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,Non_Wetland,5,0,2,2,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,Wetland,0,398,223,858,741,60,712,183,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,Forest,733,0,233,775,551,172,259,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,Built-up,45,10,17,72,213,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,Water,638,217,27,241,433,32,0,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,Shrubland,21,0,0,12,23,5,5,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,Bareland,13,1,1,8,0,22,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,Cropland,18,3,4,6,23,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMT_M_R,Permanent_ice_and_snow,4,1,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMT_M_R,Grassland,158,0,0,0,0,0,24,0,1243,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMT_M_R,Wetland,0,0,0,0,0,0,206,0,1956,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMT_M_R,Forest,535,0,0,0,0,0,147,0,1839,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMT_M_R,Water,682,0,0,0,0,0,0,0,896,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMT_M_R,Shrubland,0,0,0,0,0,0,0,0,39,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMT_M_R,Bareland,35,0,0,0,0,0,4,0,98,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMT_M_R,Built-up,48,0,0,0,0,0,0,0,129,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMT_M_R,Cropland,6,0,0,0,0,0,0,0,45,0,0,0
