Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Cropland,Grassland,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R,Grassland,176,34,27,26,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R,Non_Wetland,2,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R,Bareland,42,5,0,58,0,77,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R,Built-up,46,0,6,1,1,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R,Water,451,2,212,0,1,426,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R,Forest,0,18,130,258,19,524,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R,Cropland,40,7,8,4,0,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R,Wetland,49,0,21,75,1,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDL_M_R,Permanent_ice_and_snow,4,0,2,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,Grassland,52,2,108,74,0,0,70,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,Non_Wetland,1,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,Bareland,48,0,0,89,0,54,57,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,Built-up,10,0,56,2,0,49,3,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,Water,264,0,72,0,0,378,335,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,Forest,0,4,127,377,0,431,426,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,Shrubland,0,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,Cropland,9,0,28,5,0,54,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,Wetland,8,0,4,31,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDL_M_R,Permanent_ice_and_snow,0,0,1,0,0,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDL_M_R,Grassland,0,0,0,28,0,0,44,0,94,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDL_M_R,Cropland,0,0,0,0,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDL_M_R,Water,0,0,0,0,0,0,325,0,175,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDL_M_R,Built-up,0,0,0,3,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDL_M_R,Forest,0,0,0,110,0,0,256,0,479,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDL_M_R,Bareland,0,0,0,26,0,0,52,0,43,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDL_M_R,Wetland,0,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,Non_Wetland,0,0,0,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,Forest,0,18,301,289,0,673,158,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,Grassland,20,19,94,74,0,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,Water,62,12,229,0,0,511,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,Shrubland,0,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,Bareland,0,3,0,98,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,Cropland,0,7,34,19,0,44,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,Wetland,5,0,37,66,0,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,Built-up,2,0,33,11,0,32,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDL_M_R,Permanent_ice_and_snow,0,0,3,2,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDL_M_R,Grassland,186,78,56,28,175,0,44,40,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDL_M_R,Bareland,23,40,0,26,63,8,52,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDL_M_R,Forest,0,167,197,110,255,102,256,63,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDL_M_R,Water,227,119,180,0,198,95,325,25,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDL_M_R,Cropland,11,4,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDL_M_R,Built-up,15,0,0,3,31,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDL_M_R,Wetland,2,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDL_M_R,Permanent_ice_and_snow,1,1,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDL_M_R,Grassland,0,0,0,68,0,0,0,0,0,0,42,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDL_M_R,Cropland,0,0,0,7,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDL_M_R,Wetland,0,0,0,69,0,0,0,0,0,0,72,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDL_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDL_M_R,Water,0,0,0,0,0,0,0,0,0,0,401,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDL_M_R,Forest,0,0,0,403,0,0,0,0,0,0,301,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDL_M_R,Bareland,0,0,0,99,0,0,0,0,0,0,82,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDL_M_R,Grassland,96,72,8,94,89,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDL_M_R,Forest,0,76,16,349,37,0,2,0,0,0,0,0
