Dataset,MajorityClass,Forest,Built-up,Cropland,Bareland,Water,Grassland,Wetland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R,Grassland,230,49,20,45,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R,Non_Wetland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R,Bareland,66,6,5,0,106,172,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R,Water,619,2,4,243,0,629,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R,Shrubland,4,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R,Built-up,48,0,0,3,0,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R,Cropland,69,19,0,7,3,70,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R,Wetland,49,1,2,25,65,74,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R,Forest,0,20,27,106,280,500,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDJ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDJ_M_R,Grassland,0,0,0,0,14,0,56,94,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDJ_M_R,Cropland,0,0,0,0,1,0,2,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDJ_M_R,Forest,0,0,0,0,124,0,241,411,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDJ_M_R,Water,0,0,0,0,0,0,363,223,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDJ_M_R,Bareland,0,0,0,0,33,0,74,94,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDJ_M_R,Wetland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,Grassland,61,18,0,137,67,0,74,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,Non_Wetland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,Bareland,90,1,0,0,112,157,111,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,Water,357,0,0,79,0,538,393,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,Forest,0,21,0,164,232,531,401,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,Shrubland,0,0,0,1,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,Cropland,14,1,0,48,5,88,21,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,Wetland,11,1,0,6,11,59,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,Built-up,4,0,0,44,0,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDJ_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,Non_Wetland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,Forest,0,25,1,324,482,732,65,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,Grassland,33,11,0,182,188,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,Water,116,0,0,364,0,471,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,Shrubland,0,0,0,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,Built-up,3,0,0,29,14,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,Cropland,2,3,0,49,40,90,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,Wetland,6,1,0,46,93,56,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,Bareland,1,0,0,0,278,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDJ_M_R,Grassland,158,63,152,54,14,0,56,0,137,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDJ_M_R,Bareland,49,39,36,0,33,72,74,0,72,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDJ_M_R,Built-up,13,0,23,2,0,24,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDJ_M_R,Water,304,82,111,177,0,274,363,0,296,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDJ_M_R,Forest,0,109,184,182,124,242,241,0,227,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDJ_M_R,Cropland,25,9,0,3,1,22,2,0,12,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDJ_M_R,Wetland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDJ_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDJ_M_R,Grassland,0,0,0,0,120,0,0,0,0,0,88,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDJ_M_R,Forest,0,0,0,0,389,0,0,0,0,0,352,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDJ_M_R,Water,0,0,0,0,0,0,0,0,0,0,561,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDJ_M_R,Cropland,0,0,0,0,9,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDJ_M_R,Wetland,0,0,0,0,60,0,0,0,0,0,69,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDJ_M_R,Bareland,0,0,0,0,100,0,0,0,0,0,175,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDJ_M_R,Grassland,116,62,203,26,152,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDJ_M_R,Bareland,40,8,10,0,94,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDJ_M_R,Forest,0,68,77,48,438,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDJ_M_R,Wetland,43,0,4,23,45,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDJ_M_R,Built-up,2,0,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDJ_M_R,Water,177,1,64,174,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDJ_M_R,Cropland,3,9,0,4,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDJ_M_R,Forest,0,0,74,59,69,33,1,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDJ_M_R,Bareland,37,0,23,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDJ_M_R,Water,558,0,137,431,0,31,13,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDJ_M_R,Wetland,81,0,36,31,21,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDJ_M_R,Grassland,233,0,155,67,108,0,15,0,0,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDJ_M_R,Built-up,28,0,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDJ_M_R,Cropland,5,0,0,2,1,0,0,0,0,0,0,2
