Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Water,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Shrubland,290,79,180,50,64,102,73,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Grassland,0,66,240,126,25,69,55,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Non_Wetland,8,2,7,1,3,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Bareland,238,0,144,52,17,8,63,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Forest,714,99,0,214,183,240,74,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Cropland,476,136,338,0,13,14,165,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Wetland,174,5,98,17,93,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Built-up,165,62,113,45,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Water,671,152,492,20,0,377,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHN_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Non_Wetland,6,0,2,0,5,15,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Shrubland,99,44,47,0,42,82,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Grassland,0,58,138,0,23,129,10,266,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Cropland,522,163,256,0,9,98,35,467,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Wetland,62,4,30,0,206,0,0,181,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Bareland,142,0,42,0,42,10,28,130,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Built-up,105,88,24,0,3,10,0,129,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Water,320,74,277,0,0,255,13,689,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Forest,524,199,0,0,267,515,25,994,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHN_M_R,Wetland,0,0,0,0,51,0,0,0,522,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHN_M_R,Shrubland,0,0,0,0,0,0,0,0,241,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHN_M_R,Grassland,0,0,0,0,32,37,0,0,256,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHN_M_R,Water,0,0,0,0,0,255,0,0,499,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHN_M_R,Forest,0,0,0,0,132,136,0,0,1001,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHN_M_R,Bareland,0,0,0,0,52,18,0,0,20,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHN_M_R,Cropland,0,0,0,0,18,3,0,0,148,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHN_M_R,Built-up,0,0,0,0,14,0,0,0,19,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,Non_Wetland,6,6,2,0,1,15,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,Grassland,0,154,73,127,20,85,10,242,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,Wetland,71,153,16,0,63,0,0,141,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,Bareland,106,0,1,59,2,4,6,58,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,Forest,637,608,0,209,164,477,22,884,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,Water,225,616,139,10,0,478,2,537,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,Shrubland,117,109,29,34,22,60,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,Built-up,132,136,11,30,1,7,0,96,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHN_M_R,Cropland,414,325,60,0,2,40,65,241,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHN_M_R,Grassland,0,0,0,0,96,0,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHN_M_R,Water,0,0,0,0,0,0,0,0,0,383,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHN_M_R,Shrubland,0,0,0,0,94,0,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHN_M_R,Wetland,0,0,0,0,213,0,0,0,0,83,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHN_M_R,Forest,0,0,0,0,321,0,0,0,0,133,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHN_M_R,Bareland,0,0,0,0,55,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHN_M_R,Cropland,0,0,0,0,19,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHN_M_R,Built-up,0,0,0,0,1,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHN_M_R,Grassland,0,17,325,327,32,37,91,481,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHN_M_R,Wetland,2,4,201,20,51,0,0,135,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHN_M_R,Bareland,5,0,124,221,52,18,90,283,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHN_M_R,Forest,158,62,0,481,132,136,75,708,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHN_M_R,Water,2,65,476,230,0,255,15,554,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHN_M_R,Cropland,52,0,279,0,18,3,97,409,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHN_M_R,Built-up,11,6,54,123,14,0,0,142,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHN_M_R,Shrubland,8,5,48,42,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHN_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHN_M_R,Grassland,0,4,220,493,60,0,108,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHN_M_R,Forest,0,0,0,516,421,25,190,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHN_M_R,Shrubland,0,1,99,164,85,1,74,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHN_M_R,Wetland,0,0,95,102,134,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHN_M_R,Bareland,0,0,29,218,45,0,130,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHN_M_R,Water,0,0,73,83,0,34,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHN_M_R,Built-up,0,0,6,28,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHN_M_R,Cropland,0,3,148,0,8,0,63,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHN_M_R,Forest,180,139,0,161,93,31,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHN_M_R,Shrubland,96,81,217,76,68,21,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHN_M_R,Wetland,75,14,204,2,79,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHN_M_R,Cropland,137,206,151,0,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHN_M_R,Bareland,7,0,32,20,16,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHN_M_R,Water,62,45,447,15,0,112,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHN_M_R,Built-up,9,39,53,35,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHN_M_R,Grassland,0,112,155,97,40,7,0,0,0,0,4
