,0
Forest,25591
Water,22262
Cropland,16779
Grassland,15585
Shrubland,14249
Wetland,11707
Bareland,9333
Built-up,6380
Non_Wetland,4985
Non_Water,2376
Permanent_ice_and_snow,23
Lichens_and_Mosses,2
