Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NQN_M_R,Shrubland,3,3,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQN_M_R,Grassland,0,8,16,0,9,16,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQN_M_R,Cropland,18,1,11,0,3,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQN_M_R,Wetland,110,0,67,0,67,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQN_M_R,Bareland,81,2,0,1,51,38,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQN_M_R,Built-up,21,8,21,0,15,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQN_M_R,Water,165,34,132,1,0,125,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQN_M_R,Forest,99,30,74,1,60,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQN_M_R,Permanent_ice_and_snow,20,1,18,0,4,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQN_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQN_M_R,Grassland,0,4,0,0,4,0,0,48,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQN_M_R,Built-up,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQN_M_R,Forest,0,27,0,0,17,0,0,112,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQN_M_R,Wetland,0,0,0,0,5,0,0,148,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQN_M_R,Water,0,56,0,0,0,0,0,104,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQN_M_R,Bareland,0,21,0,0,6,0,0,42,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQN_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQN_M_R,Shrubland,0,0,0,0,4,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQN_M_R,Grassland,0,0,0,0,29,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQN_M_R,Cropland,0,0,0,0,8,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQN_M_R,Wetland,0,0,0,0,96,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQN_M_R,Bareland,0,0,0,0,91,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQN_M_R,Built-up,0,0,0,0,24,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQN_M_R,Water,0,0,0,0,0,0,0,0,119,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQN_M_R,Forest,0,0,0,0,111,0,0,0,37,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQN_M_R,Permanent_ice_and_snow,0,0,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQN_M_R,Water,75,56,20,27,0,96,81,0,0,124,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQN_M_R,Cropland,2,0,2,1,0,7,0,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQN_M_R,Wetland,10,0,7,4,5,39,24,0,0,56,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQN_M_R,Bareland,40,21,0,26,6,42,47,0,0,68,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQN_M_R,Built-up,10,0,4,0,0,10,10,0,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQN_M_R,Forest,52,27,19,15,17,0,59,0,0,80,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQN_M_R,Grassland,0,4,0,2,4,22,17,0,0,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQN_M_R,Permanent_ice_and_snow,7,0,2,5,0,8,7,0,0,22,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQN_M_R,Water,0,105,62,78,0,56,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQN_M_R,Grassland,0,35,4,15,13,19,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQN_M_R,Bareland,0,35,0,39,20,22,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQN_M_R,Forest,0,70,14,46,47,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQN_M_R,Wetland,0,0,19,28,52,31,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQN_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQN_M_R,Cropland,0,0,2,4,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQN_M_R,Permanent_ice_and_snow,0,4,4,8,6,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQN_M_R,Water,17,62,71,0,0,71,24,0,0,0,37
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQN_M_R,Wetland,21,0,27,0,36,42,9,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQN_M_R,Forest,14,18,31,0,24,0,13,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQN_M_R,Grassland,0,7,9,0,7,12,2,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQN_M_R,Bareland,0,5,0,0,9,4,2,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQN_M_R,Built-up,0,0,1,0,0,3,0,0,0,0,1
