Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,Non_Wetland,7,1,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,Grassland,144,0,16,59,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,Bareland,7,1,0,9,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,Forest,446,82,38,245,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,Water,528,8,14,0,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,Shrubland,7,2,3,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,Wetland,0,20,3,303,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,Built-up,24,0,12,9,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,Cropland,1,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R,Non_Wetland,0,6,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R,Grassland,7,0,0,0,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R,Wetland,0,460,2,78,301,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R,Bareland,0,21,0,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R,Water,309,461,10,0,306,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R,Shrubland,0,8,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R,Built-up,0,24,0,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R,Forest,43,269,0,34,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R,Cropland,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,Grassland,14,0,0,4,0,0,202,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,Wetland,0,0,0,38,0,0,537,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,Forest,97,0,0,38,0,0,667,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,Water,187,0,0,0,0,0,565,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,Shrubland,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,Bareland,0,0,0,0,0,0,18,0,0,0,0
