Dataset,MajorityClass,Grassland,Built-up,Forest,Wetland,Bareland,Water,Non_Water,Non_Wetland,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NBB_M_R,Shrubland,3,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBB_M_R,Grassland,0,1,8,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBB_M_R,Cropland,5,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBB_M_R,Wetland,45,0,17,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBB_M_R,Bareland,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBB_M_R,Built-up,7,0,6,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBB_M_R,Water,35,0,24,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBB_M_R,Forest,44,1,0,2,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBB_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBB_M_R,Grassland,0,0,0,0,0,8,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBB_M_R,Wetland,0,0,0,0,0,10,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBB_M_R,Forest,0,0,0,0,0,25,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBB_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBB_M_R,Water,0,0,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBB_M_R,Grassland,0,0,0,10,0,2,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBB_M_R,Wetland,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBB_M_R,Forest,0,0,0,23,0,5,0,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBB_M_R,Water,0,0,0,20,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBB_M_R,Cropland,1,0,2,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBB_M_R,Wetland,3,0,7,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBB_M_R,Built-up,5,0,2,0,1,0,0,0,3,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBB_M_R,Water,16,1,12,20,1,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBB_M_R,Forest,25,4,0,23,2,5,0,0,23,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBB_M_R,Grassland,0,1,10,10,0,2,0,0,7,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBB_M_R,Bareland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBB_M_R,Grassland,0,8,10,9,0,9,0,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBB_M_R,Forest,0,8,0,14,2,17,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBB_M_R,Wetland,0,7,4,0,0,7,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBB_M_R,Water,0,1,4,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBB_M_R,Bareland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBB_M_R,Wetland,7,0,15,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBB_M_R,Water,4,0,29,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBB_M_R,Forest,8,0,0,2,0,2,0,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBB_M_R,Grassland,0,0,9,4,0,1,0,0,0,1,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBB_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
