Dataset,MajorityClass,Forest,Wetland,Bareland,Grassland,Water,Built-up,Shrubland,Non_Wetland,Cropland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Grassland,18,3,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Non_Wetland,7,0,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Wetland,427,0,2,456,101,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Bareland,72,6,0,60,6,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Built-up,53,0,9,79,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Water,542,272,14,599,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Shrubland,11,0,0,16,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Forest,0,31,8,348,29,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Cropland,5,0,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Non_Wetland,1,7,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Grassland,8,68,16,0,14,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Wetland,33,0,18,88,286,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Bareland,9,45,0,11,68,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Built-up,2,29,42,4,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Water,75,611,42,82,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Forest,0,532,143,203,285,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Shrubland,2,10,5,3,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Cropland,0,8,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPD_M_R,Grassland,0,9,0,0,0,0,0,109,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPD_M_R,Wetland,0,0,0,0,58,0,0,442,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPD_M_R,Forest,0,179,0,0,65,0,0,831,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPD_M_R,Bareland,0,7,0,0,0,0,0,63,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPD_M_R,Water,0,260,0,0,0,0,0,655,0,0,0,0
