Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Shrubland,269,49,65,179,73,28,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Grassland,0,134,46,338,55,16,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Non_Wetland,8,0,0,7,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Bareland,199,44,0,79,46,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Forest,699,149,79,0,66,178,117,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Cropland,474,0,142,305,94,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Wetland,344,0,5,400,4,0,101,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Built-up,201,45,50,175,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Water,413,0,71,609,7,313,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Non_Water,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKM_M_R,Permanent_ice_and_snow,2,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Non_Wetland,1,0,2,3,0,11,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Shrubland,80,0,44,48,12,61,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Grassland,0,0,55,182,23,79,35,340,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Cropland,404,0,103,248,19,76,1,470,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Wetland,64,0,3,287,3,0,359,243,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Bareland,76,0,0,30,10,6,35,94,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Built-up,129,0,91,32,0,6,19,141,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Water,160,0,35,335,17,161,0,250,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Forest,492,0,146,0,45,349,293,790,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKM_M_R,Grassland,0,146,160,77,29,87,42,305,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKM_M_R,Non_Wetland,2,0,3,1,0,12,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKM_M_R,Wetland,52,0,30,141,2,0,173,148,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKM_M_R,Forest,502,190,321,0,46,604,165,758,0,0,0,0
