Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R,Shrubland,231,63,50,148,18,90,58,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R,Non_Wetland,10,1,0,4,1,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R,Grassland,0,49,34,142,57,44,25,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R,Bareland,128,0,23,106,20,11,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R,Water,530,169,5,444,12,314,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R,Forest,432,103,66,0,55,130,159,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R,Cropland,254,80,48,186,0,13,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R,Wetland,91,6,0,40,5,0,26,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R,Built-up,86,22,0,80,6,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHM_M_R,Non_Water,1,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,Non_Wetland,6,0,0,1,0,13,4,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,Shrubland,96,29,5,21,0,50,41,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,Grassland,0,25,5,59,0,32,14,166,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,Cropland,329,85,6,83,0,19,15,217,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,Wetland,29,1,0,23,0,0,121,137,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,Bareland,92,0,2,17,0,4,65,85,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,Built-up,96,40,0,9,0,1,0,92,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,Water,333,41,0,185,0,109,0,671,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,Forest,397,152,20,0,0,231,263,838,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHM_M_R,Non_Water,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHM_M_R,Wetland,0,0,0,0,0,0,22,0,344,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHM_M_R,Shrubland,0,0,0,0,0,0,0,0,177,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHM_M_R,Grassland,0,0,0,0,0,4,22,0,105,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHM_M_R,Water,0,0,0,0,0,233,0,0,328,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHM_M_R,Bareland,0,0,0,0,0,12,11,0,16,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHM_M_R,Cropland,0,0,0,0,0,0,0,0,38,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHM_M_R,Built-up,0,0,0,0,0,0,1,0,3,0,0
