Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Water,Bareland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R,Shrubland,2,1,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R,Grassland,0,0,1,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R,Cropland,9,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R,Wetland,35,0,1,19,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R,Built-up,9,0,0,14,6,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R,Forest,48,9,12,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R,Bareland,0,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R,Water,33,2,1,42,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVA_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVA_M_R,Forest,0,20,0,0,7,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVA_M_R,Wetland,0,0,0,0,1,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVA_M_R,Built-up,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVA_M_R,Water,0,23,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVA_M_R,Grassland,0,3,0,0,1,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVA_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVA_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVA_M_R,Grassland,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVA_M_R,Forest,0,0,0,0,33,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVA_M_R,Built-up,0,0,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVA_M_R,Wetland,0,0,0,0,6,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVA_M_R,Water,0,0,0,0,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVA_M_R,Wetland,1,0,0,10,1,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVA_M_R,Bareland,1,0,0,1,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVA_M_R,Built-up,4,2,0,4,1,3,0,0,10,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVA_M_R,Water,7,23,3,20,0,6,0,0,19,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVA_M_R,Forest,12,20,6,0,7,9,0,0,39,20,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVA_M_R,Grassland,0,3,0,8,1,1,0,0,13,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVA_M_R,Cropland,0,0,0,3,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVA_M_R,Forest,0,15,26,0,27,8,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVA_M_R,Water,0,4,24,7,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVA_M_R,Grassland,0,7,4,5,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVA_M_R,Wetland,0,0,12,5,6,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVA_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVA_M_R,Cropland,0,1,4,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVA_M_R,Wetland,3,0,0,22,8,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVA_M_R,Water,2,1,0,31,0,1,0,0,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVA_M_R,Forest,7,0,0,0,7,0,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVA_M_R,Grassland,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVA_M_R,Built-up,0,0,0,6,0,0,0,0,0,0,0
