Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Cropland,Built-up,Water,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18NZJ_M_R,Shrubland,2,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZJ_M_R,Grassland,0,13,5,19,2,3,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZJ_M_R,Cropland,26,3,4,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZJ_M_R,Wetland,60,0,6,48,1,2,35,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZJ_M_R,Bareland,12,0,0,6,0,1,7,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZJ_M_R,Built-up,10,0,5,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZJ_M_R,Water,61,48,23,70,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZJ_M_R,Forest,58,29,14,0,2,2,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZJ_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZJ_M_R,Grassland,0,11,0,0,0,0,4,39,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZJ_M_R,Forest,0,33,0,0,0,0,12,48,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZJ_M_R,Cropland,0,3,0,0,0,0,1,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZJ_M_R,Wetland,0,0,0,0,0,0,6,48,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZJ_M_R,Built-up,0,2,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZJ_M_R,Water,0,50,0,0,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZJ_M_R,Bareland,0,17,0,0,0,0,2,0,0,0
