Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R,Shrubland,3,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R,Cropland,5,0,1,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R,Wetland,21,2,0,20,35,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R,Bareland,11,0,0,11,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R,Water,53,15,4,60,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R,Forest,49,17,5,0,29,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R,Built-up,8,1,0,7,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R,Grassland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,Wetland,0,0,0,0,26,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,Water,0,0,0,0,0,0,77,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,Built-up,0,0,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,Forest,0,0,0,0,46,0,34,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,Grassland,0,0,0,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,Cropland,0,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,Bareland,0,0,0,0,15,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,Bareland,1,0,2,11,3,13,0,4,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,Water,11,19,13,36,0,45,0,24,19,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,Built-up,1,1,0,3,2,3,0,10,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,Forest,13,16,7,0,11,28,0,33,24,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,Grassland,0,0,1,7,2,4,0,8,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,Cropland,0,1,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,Wetland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,Wetland,0,10,7,13,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,Water,0,37,12,24,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,Forest,0,5,16,0,37,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,Grassland,0,0,5,9,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,Cropland,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,Bareland,0,0,0,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,Built-up,0,0,0,0,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,Water,0,0,0,0,0,45,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,Forest,0,0,0,0,11,28,0,0,0,0,8,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,Grassland,0,0,0,0,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,Bareland,0,0,0,0,3,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,Wetland,9,8,0,27,10,0,0,0,6,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,Water,9,33,0,52,0,2,0,0,10,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,Forest,8,4,0,0,13,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,Grassland,0,0,0,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,Bareland,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,Built-up,0,0,0,1,1,0,0,0,0,0,0,0
