Dataset,MajorityClass,Forest,Grassland,Built-up,Cropland,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R,Shrubland,27,61,2,3,5,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R,Non_Wetland,6,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R,Grassland,110,0,2,55,7,17,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R,Wetland,50,100,0,0,0,1,17,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R,Bareland,9,32,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R,Water,131,91,0,1,35,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R,Cropland,65,146,10,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R,Built-up,1,8,0,1,0,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R,Forest,0,297,0,33,11,6,27,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,Shrubland,12,23,0,0,17,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,Non_Wetland,2,2,0,0,8,2,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,Grassland,60,0,0,0,102,59,7,48,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,Bareland,3,12,0,0,3,0,0,8,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,Forest,0,260,0,0,300,135,62,149,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,Cropland,58,156,0,0,45,18,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,Water,21,59,0,0,139,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,Wetland,4,13,0,0,0,6,17,12,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,Built-up,2,0,0,0,0,10,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,Grassland,4,0,0,70,97,20,6,113,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,Non_Wetland,0,1,0,1,10,3,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,Wetland,3,24,0,1,0,6,38,36,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,Forest,0,296,0,61,218,84,123,217,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,Shrubland,3,15,0,3,14,14,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,Bareland,0,19,0,26,1,0,1,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,Cropland,1,143,0,0,7,1,0,42,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,Built-up,0,14,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,Water,17,32,0,5,80,0,0,18,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBQ_M_R,Wetland,0,0,0,0,0,0,1,0,59,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBQ_M_R,Grassland,0,0,0,0,18,0,7,0,182,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBQ_M_R,Forest,0,0,0,0,96,0,40,0,430,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBQ_M_R,Shrubland,0,0,0,0,0,0,0,0,32,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBQ_M_R,Water,0,0,0,0,108,0,0,0,78,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBQ_M_R,Cropland,0,0,0,0,0,0,2,0,51,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBQ_M_R,Bareland,0,0,0,0,0,0,2,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBQ_M_R,Grassland,107,0,29,72,18,6,7,166,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBQ_M_R,Wetland,15,2,0,2,0,2,1,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBQ_M_R,Bareland,2,2,8,7,0,0,2,24,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBQ_M_R,Forest,0,146,13,60,96,37,40,215,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBQ_M_R,Cropland,48,64,19,0,0,0,2,96,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBQ_M_R,Water,59,8,0,2,108,15,0,38,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBQ_M_R,Shrubland,3,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBQ_M_R,Built-up,0,1,0,5,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBQ_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBQ_M_R,Wetland,0,0,0,0,0,0,37,0,0,26
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBQ_M_R,Water,0,0,0,0,0,0,0,0,0,74
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBQ_M_R,Forest,0,0,0,0,0,0,66,0,0,33
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBQ_M_R,Grassland,0,0,0,0,0,0,25,0,0,7
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBQ_M_R,Cropland,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBQ_M_R,Grassland,73,0,23,280,0,3,11,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBQ_M_R,Forest,0,0,0,114,0,1,83,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBQ_M_R,Shrubland,13,0,0,10,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBQ_M_R,Wetland,32,0,0,12,0,0,40,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBQ_M_R,Water,29,0,6,28,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBQ_M_R,Bareland,1,0,6,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBQ_M_R,Cropland,5,0,11,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBQ_M_R,Shrubland,31,9,0,3,0,3,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBQ_M_R,Forest,0,9,0,15,0,19,8,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBQ_M_R,Cropland,56,31,0,0,0,72,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBQ_M_R,Wetland,108,14,0,1,0,4,24,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBQ_M_R,Water,157,10,0,0,4,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBQ_M_R,Grassland,122,0,0,49,0,85,32,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBQ_M_R,Bareland,4,0,0,0,0,0,0,0,0,0
