Dataset,MajorityClass,Grassland,Forest,Built-up,Water,Wetland,Bareland,Cropland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_25MCN_M_R,Bareland,130,26,5,9,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCN_M_R,Cropland,36,5,3,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCN_M_R,Built-up,159,85,0,1,11,47,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCN_M_R,Shrubland,5,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCN_M_R,Forest,140,0,20,0,26,7,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCN_M_R,Wetland,32,26,0,4,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCN_M_R,Water,41,37,3,0,29,84,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCN_M_R,Grassland,0,4,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCN_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCN_M_R,Wetland,0,0,0,0,0,0,0,45,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCN_M_R,Forest,0,0,0,1,38,0,0,99,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCN_M_R,Built-up,0,0,0,1,13,0,0,39,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCN_M_R,Bareland,0,0,0,2,31,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCN_M_R,Water,0,0,0,0,89,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCN_M_R,Grassland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCN_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCN_M_R,Grassland,0,3,4,0,2,2,0,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCN_M_R,Cropland,0,1,5,0,0,6,0,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCN_M_R,Built-up,0,22,0,12,11,38,0,0,8,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCN_M_R,Forest,0,0,55,18,74,48,0,0,32,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCN_M_R,Bareland,0,11,27,20,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCN_M_R,Water,0,7,40,0,20,68,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCN_M_R,Wetland,0,16,16,28,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCN_M_R,Shrubland,0,0,1,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCN_M_R,Cropland,0,0,3,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCN_M_R,Built-up,16,10,0,5,13,78,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCN_M_R,Forest,21,0,28,0,36,18,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCN_M_R,Wetland,0,10,2,13,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCN_M_R,Grassland,0,1,1,0,0,0,5,0,0,0,0
