Dataset,MajorityClass,Shrubland,Grassland,Wetland,Water,Forest,Cropland,Bareland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,Non_Wetland,3,3,5,4,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,Grassland,35,0,82,72,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,Wetland,43,178,0,251,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,Shrubland,0,8,13,9,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,Cropland,5,8,11,23,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,Bareland,0,3,0,20,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,Water,8,93,123,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,Forest,117,137,128,71,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Non_Wetland,0,1,13,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Shrubland,0,16,37,2,17,1,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Grassland,0,0,198,12,57,5,3,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Water,0,24,338,0,56,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Cropland,0,29,46,4,25,0,6,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Wetland,0,59,0,144,110,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Lichens_and_Mosses,0,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Bareland,0,9,37,3,9,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Built-up,0,5,3,0,6,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Forest,0,55,294,25,0,5,3,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R,Permanent_ice_and_snow,0,2,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,Shrubland,0,0,0,0,0,0,0,0,48,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,Grassland,0,0,37,19,0,0,0,0,232,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,Wetland,0,0,0,66,0,0,0,0,237,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,Water,0,0,127,0,0,0,0,0,63,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,Cropland,0,0,0,0,0,0,0,0,54,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,Bareland,0,0,0,0,0,0,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,Forest,0,0,106,49,0,0,0,0,353,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,Non_Wetland,1,8,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,Shrubland,0,18,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,Grassland,5,0,13,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,Wetland,39,340,0,98,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,Water,0,162,41,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,Forest,91,250,10,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,Cropland,1,29,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,Bareland,0,13,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUA_M_R,Grassland,0,0,0,40,0,0,0,0,0,35,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUA_M_R,Wetland,0,0,0,265,0,0,0,0,0,264,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUA_M_R,Shrubland,0,0,0,2,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUA_M_R,Cropland,0,0,0,5,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUA_M_R,Bareland,0,0,0,3,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUA_M_R,Water,0,0,0,0,0,0,0,0,0,189,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUA_M_R,Forest,0,0,0,40,0,0,0,0,0,33,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,Grassland,108,0,37,19,71,88,13,2,0,0,0,0
