Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Cropland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MYU_M_R,Grassland,355,60,26,56,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYU_M_R,Non_Wetland,9,0,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYU_M_R,Forest,0,16,15,19,0,63,398,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYU_M_R,Cropland,98,0,4,11,0,0,64,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYU_M_R,Wetland,460,0,30,1,7,106,641,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYU_M_R,Bareland,37,0,0,13,0,0,78,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYU_M_R,Built-up,79,2,7,0,0,0,90,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYU_M_R,Water,433,228,104,0,5,0,312,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYU_M_R,Shrubland,17,1,4,7,0,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYU_M_R,Non_Wetland,1,10,3,0,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYU_M_R,Grassland,115,299,147,2,0,60,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYU_M_R,Cropland,34,24,29,0,0,1,72,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYU_M_R,Wetland,51,0,46,0,0,269,260,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYU_M_R,Bareland,13,18,0,0,0,1,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYU_M_R,Built-up,15,20,77,0,0,4,46,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYU_M_R,Water,141,432,20,4,0,0,186,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYU_M_R,Forest,0,533,193,20,0,186,476,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYU_M_R,Shrubland,10,14,13,1,0,2,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYU_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYU_M_R,Wetland,0,0,0,0,0,72,0,575,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYU_M_R,Grassland,0,76,0,0,0,14,0,605,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYU_M_R,Forest,0,183,0,0,0,56,0,878,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYU_M_R,Water,0,271,0,0,0,0,0,475,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYU_M_R,Shrubland,0,0,0,0,0,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYU_M_R,Bareland,0,1,0,0,0,0,0,32,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYU_M_R,Built-up,0,3,0,0,0,0,0,54,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYU_M_R,Cropland,0,0,0,0,0,0,0,61,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYU_M_R,Non_Wetland,1,11,2,0,1,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYU_M_R,Wetland,15,0,73,0,10,261,305,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYU_M_R,Forest,0,522,246,20,23,61,488,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYU_M_R,Grassland,58,298,228,28,60,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYU_M_R,Water,36,550,36,2,0,0,145,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYU_M_R,Shrubland,2,14,12,5,10,2,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYU_M_R,Cropland,7,38,52,0,0,0,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYU_M_R,Bareland,1,14,0,0,0,1,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYU_M_R,Built-up,4,33,70,0,4,5,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYU_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYU_M_R,Grassland,0,0,0,0,0,167,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYU_M_R,Wetland,0,0,0,0,0,498,0,0,195,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYU_M_R,Shrubland,0,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYU_M_R,Bareland,0,0,0,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYU_M_R,Built-up,0,0,0,0,0,24,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYU_M_R,Water,0,0,0,0,0,0,0,0,173,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYU_M_R,Forest,0,0,0,0,0,211,0,0,74,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYU_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
