Dataset,MajorityClass,Forest,Cropland,Bareland,Wetland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22LDQ_M_R,Grassland,299,129,81,106,64,34,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDQ_M_R,Non_Wetland,9,0,0,3,0,0,9,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDQ_M_R,Shrubland,63,25,24,7,32,3,137,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDQ_M_R,Cropland,219,0,81,6,64,36,375,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDQ_M_R,Wetland,134,0,16,0,0,72,190,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDQ_M_R,Bareland,34,22,0,0,15,3,119,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDQ_M_R,Built-up,67,23,42,0,0,2,123,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDQ_M_R,Forest,0,55,44,125,55,77,542,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDQ_M_R,Water,376,39,126,155,2,0,502,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDQ_M_R,Non_Wetland,3,0,2,11,0,2,3,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDQ_M_R,Shrubland,23,0,24,26,3,14,91,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDQ_M_R,Grassland,149,0,80,250,9,85,0,101,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDQ_M_R,Cropland,115,0,59,96,8,42,536,106,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDQ_M_R,Wetland,20,0,0,0,0,76,143,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDQ_M_R,Bareland,15,0,0,5,9,2,106,5,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDQ_M_R,Built-up,7,0,62,6,0,0,87,18,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDQ_M_R,Forest,0,0,140,540,3,109,715,143,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDQ_M_R,Water,132,0,12,321,15,0,610,32,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDQ_M_R,Grassland,67,188,180,190,36,70,0,226,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDQ_M_R,Non_Wetland,0,1,2,10,0,2,4,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDQ_M_R,Forest,0,148,189,313,11,164,653,314,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDQ_M_R,Wetland,18,30,3,0,0,110,208,65,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDQ_M_R,Bareland,0,79,0,2,15,5,76,8,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDQ_M_R,Water,42,166,23,120,3,0,376,250,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDQ_M_R,Shrubland,3,23,20,14,4,7,45,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDQ_M_R,Built-up,1,48,74,4,0,8,77,35,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDQ_M_R,Cropland,8,0,130,44,20,28,336,223,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDQ_M_R,Grassland,0,0,0,60,0,37,0,0,524,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDQ_M_R,Wetland,0,0,0,0,0,23,0,0,334,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDQ_M_R,Forest,0,0,0,138,0,95,0,0,805,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDQ_M_R,Water,0,0,0,255,0,0,0,0,310,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDQ_M_R,Shrubland,0,0,0,0,0,0,0,0,52,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDQ_M_R,Cropland,0,0,0,29,0,24,0,0,142,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDQ_M_R,Bareland,0,0,0,0,0,12,0,0,7,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDQ_M_R,Built-up,0,0,0,0,0,9,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDQ_M_R,Grassland,0,0,0,0,0,267,0,0,0,55
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDQ_M_R,Wetland,0,0,0,0,0,167,0,0,0,63
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDQ_M_R,Shrubland,0,0,0,0,0,16,0,0,0,9
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDQ_M_R,Cropland,0,0,0,0,0,58,0,0,0,19
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDQ_M_R,Water,0,0,0,0,0,0,0,0,0,138
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDQ_M_R,Forest,0,0,0,0,0,228,0,0,0,48
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDQ_M_R,Built-up,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDQ_M_R,Bareland,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDQ_M_R,Grassland,246,276,31,60,81,37,0,462,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDQ_M_R,Forest,0,164,53,138,37,95,316,433,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDQ_M_R,Wetland,102,9,19,0,0,23,15,88,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDQ_M_R,Bareland,12,83,0,0,53,12,18,92,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDQ_M_R,Cropland,122,0,3,29,64,24,142,295,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDQ_M_R,Built-up,6,72,1,0,0,9,13,71,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDQ_M_R,Water,229,74,66,255,12,0,102,309,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDQ_M_R,Shrubland,1,3,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDQ_M_R,Shrubland,6,69,0,0,33,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDQ_M_R,Grassland,193,613,9,1,120,110,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDQ_M_R,Forest,0,268,1,25,73,192,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDQ_M_R,Wetland,53,60,0,0,0,102,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDQ_M_R,Bareland,6,66,0,0,73,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDQ_M_R,Water,52,257,1,16,19,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDQ_M_R,Built-up,0,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDQ_M_R,Cropland,22,0,6,0,56,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDQ_M_R,Wetland,160,4,4,0,0,79,44,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDQ_M_R,Cropland,92,0,161,0,0,34,72,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDQ_M_R,Forest,0,44,37,11,0,50,45,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDQ_M_R,Water,228,16,21,72,0,0,30,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDQ_M_R,Shrubland,51,31,8,7,0,21,8,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDQ_M_R,Bareland,10,5,0,0,0,1,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDQ_M_R,Built-up,25,10,33,0,0,4,5,0,0,0
