Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Bareland,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Built-up,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18LZP_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZP_M_R,Forest,65,4,0,95,51,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZP_M_R,Wetland,7,0,1,4,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZP_M_R,Water,33,0,83,0,58,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZP_M_R,Cropland,0,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZP_M_R,Bareland,16,0,5,23,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZP_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZP_M_R,Forest,0,29,0,42,0,0,34,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZP_M_R,Water,0,42,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZP_M_R,Bareland,0,12,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZP_M_R,Wetland,0,0,6,7,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZP_M_R,Grassland,0,0,4,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZP_M_R,Forest,0,0,0,141,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZP_M_R,Cropland,0,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZP_M_R,Water,0,0,72,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZP_M_R,Bareland,0,0,20,30,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZP_M_R,Water,0,0,0,0,0,0,0,105,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZP_M_R,Wetland,0,0,0,5,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZP_M_R,Forest,0,0,0,140,0,0,0,93,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZP_M_R,Bareland,0,0,0,36,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZP_M_R,Grassland,0,0,0,1,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZP_M_R,Water,27,42,61,0,30,14,0,0,61,4,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZP_M_R,Forest,52,29,0,42,37,21,0,0,83,7,32,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZP_M_R,Bareland,15,12,12,4,0,4,0,0,18,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZP_M_R,Forest,0,0,0,17,15,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZP_M_R,Wetland,0,0,7,1,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZP_M_R,Water,0,0,161,0,46,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZP_M_R,Grassland,0,0,2,1,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZP_M_R,Bareland,0,0,8,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZP_M_R,Water,0,5,38,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZP_M_R,Forest,0,36,0,65,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZP_M_R,Water,8,0,39,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZP_M_R,Forest,56,0,0,70,1,0,0,0,0,0,0,0
