Dataset,MajorityClass,Grassland,Forest,Built-up,Bareland,Water,Wetland,Shrubland,Cropland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R,Shrubland,34,22,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R,Non_Wetland,5,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R,Grassland,0,19,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R,Cropland,9,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R,Wetland,88,88,0,3,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R,Bareland,3,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R,Water,62,168,0,5,0,26,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R,Forest,123,0,0,0,18,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R,Built-up,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBR_M_R,Grassland,0,0,0,1,2,37,18,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBR_M_R,Non_Wetland,0,0,0,0,0,8,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBR_M_R,Forest,112,0,0,20,86,182,130,26,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBR_M_R,Wetland,24,7,0,0,49,0,29,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBR_M_R,Shrubland,10,1,0,1,5,13,0,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBR_M_R,Water,10,34,0,0,0,59,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBR_M_R,Cropland,7,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBR_M_R,Built-up,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBR_M_R,Shrubland,9,6,0,12,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBR_M_R,Non_Wetland,2,1,0,2,0,1,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBR_M_R,Grassland,0,9,13,13,0,20,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBR_M_R,Cropland,1,0,8,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBR_M_R,Bareland,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBR_M_R,Water,22,34,0,2,0,130,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBR_M_R,Forest,128,0,11,71,88,217,74,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBR_M_R,Wetland,17,2,0,0,48,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBR_M_R,Grassland,0,0,0,0,1,5,0,0,49,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBR_M_R,Wetland,0,0,0,0,1,0,0,0,33,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBR_M_R,Forest,0,0,0,0,45,82,0,0,302,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBR_M_R,Shrubland,0,0,0,0,0,0,0,0,21,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBR_M_R,Water,0,0,0,0,0,139,0,0,67,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBR_M_R,Cropland,0,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBR_M_R,Grassland,0,23,1,0,1,5,28,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBR_M_R,Forest,95,0,0,18,45,82,100,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBR_M_R,Wetland,3,8,0,0,1,0,15,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBR_M_R,Bareland,1,1,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBR_M_R,Water,5,55,0,14,0,139,17,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBR_M_R,Shrubland,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBR_M_R,Cropland,0,0,1,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBR_M_R,Wetland,0,0,0,0,81,0,0,0,0,35
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBR_M_R,Grassland,0,0,0,0,3,0,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBR_M_R,Water,0,0,0,0,0,0,0,0,0,83
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBR_M_R,Forest,0,0,0,0,87,0,0,0,0,52
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBR_M_R,Grassland,0,18,2,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBR_M_R,Shrubland,0,3,1,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBR_M_R,Built-up,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBR_M_R,Wetland,0,24,0,4,68,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBR_M_R,Water,0,22,0,2,0,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBR_M_R,Forest,0,0,0,0,119,6,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBR_M_R,Wetland,6,123,0,2,15,0,0,13,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBR_M_R,Water,3,162,0,2,0,18,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBR_M_R,Forest,6,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBR_M_R,Grassland,0,40,0,2,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBR_M_R,Built-up,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBR_M_R,Shrubland,0,15,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBR_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
