Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Grassland,162,9,15,17,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Non_Wetland,3,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Bareland,573,0,0,33,252,593,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Shrubland,15,0,0,1,0,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Built-up,39,0,17,0,3,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Water,474,0,142,1,0,292,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Forest,0,2,59,22,160,378,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Non_Water,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Cropland,40,0,1,7,0,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Wetland,157,0,32,3,61,130,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Lichens_and_Mosses,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWN_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Non_Wetland,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Shrubland,4,0,13,1,1,8,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Grassland,46,0,227,19,15,0,26,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWN_M_R,Bareland,47,0,0,3,23,91,47,1,0,0,0,0
