Dataset,MajorityClass,Shrubland,Forest,Wetland,Grassland,Water,Bareland,Non_Wetland,Built-up,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYC_M_R,Grassland,5,14,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYC_M_R,Shrubland,0,3,1,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYC_M_R,Forest,63,0,157,85,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYC_M_R,Water,3,60,123,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYC_M_R,Wetland,1,4,0,7,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYC_M_R,Cropland,0,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYC_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYC_M_R,Grassland,2,2,9,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYC_M_R,Shrubland,0,2,11,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYC_M_R,Forest,50,0,90,156,89,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYC_M_R,Water,2,6,20,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYC_M_R,Wetland,2,1,0,19,24,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYC_M_R,Cropland,0,0,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYC_M_R,Non_Wetland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYC_M_R,Shrubland,0,17,0,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYC_M_R,Grassland,0,18,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYC_M_R,Wetland,0,69,0,14,19,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYC_M_R,Forest,0,0,0,105,63,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYC_M_R,Water,0,141,1,15,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYC_M_R,Cropland,0,5,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYC_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
