Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Cropland,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Grassland,417,84,79,21,47,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Non_Wetland,5,0,0,0,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Water,708,3,173,0,8,227,712,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Cropland,235,77,72,1,0,0,341,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Wetland,381,8,17,90,0,0,558,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Bareland,197,95,0,69,20,13,479,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Built-up,113,0,57,4,3,0,217,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Forest,0,74,73,97,9,62,806,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Shrubland,19,8,5,2,1,4,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Lichens_and_Mosses,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHB_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHB_M_R,Non_Wetland,2,0,1,0,0,6,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHB_M_R,Grassland,124,79,157,111,0,146,0,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHB_M_R,Cropland,98,41,61,11,0,37,222,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHB_M_R,Bareland,84,127,0,87,0,11,210,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHB_M_R,Water,168,27,153,0,0,285,553,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHB_M_R,Forest,0,81,310,298,0,521,873,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHB_M_R,Shrubland,10,5,9,2,0,9,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHB_M_R,Wetland,93,7,37,302,0,0,384,0,0,0,0,0
