Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Grassland,Non_Wetland,Non_Water,Lichens_and_Mosses,Shrubland,Cropland
AMAZON_EXTENSION_2024_WorldCover_2021_18MXU_M_R,Grassland,8,1,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXU_M_R,Water,163,15,2,6,0,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXU_M_R,Shrubland,1,0,0,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXU_M_R,Cropland,2,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXU_M_R,Wetland,21,1,1,0,16,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXU_M_R,Bareland,3,0,1,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXU_M_R,Built-up,14,2,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXU_M_R,Forest,0,11,3,8,108,85,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXU_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXU_M_R,Forest,0,0,0,114,53,0,101,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXU_M_R,Water,0,0,0,108,0,0,38,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXU_M_R,Grassland,0,0,0,5,1,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXU_M_R,Wetland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXU_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXU_M_R,Grassland,0,0,0,0,7,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXU_M_R,Wetland,0,0,0,0,12,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXU_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXU_M_R,Forest,0,0,0,0,148,0,0,119,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXU_M_R,Water,0,0,0,0,0,0,0,127,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXU_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXU_M_R,Grassland,0,3,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXU_M_R,Built-up,0,4,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXU_M_R,Forest,0,14,0,5,151,87,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXU_M_R,Water,23,21,0,0,0,50,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXU_M_R,Wetland,0,0,0,0,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXU_M_R,Forest,0,0,0,105,62,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXU_M_R,Grassland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXU_M_R,Water,39,0,0,72,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXU_M_R,Bareland,0,0,2,0,0,5,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXU_M_R,Built-up,2,1,0,0,0,9,0,0,0,2,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXU_M_R,Water,82,60,10,108,0,37,0,0,6,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXU_M_R,Forest,0,76,11,114,53,45,0,0,6,39,13
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXU_M_R,Grassland,9,2,1,5,1,0,0,0,0,4,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXU_M_R,Cropland,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXU_M_R,Wetland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXU_M_R,Water,63,4,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXU_M_R,Grassland,6,0,7,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXU_M_R,Wetland,9,0,1,0,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXU_M_R,Forest,0,0,16,9,154,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXU_M_R,Cropland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXU_M_R,Bareland,1,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXU_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXU_M_R,Wetland,39,0,0,0,7,7,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXU_M_R,Water,236,45,0,3,0,6,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXU_M_R,Forest,0,1,0,2,10,4,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXU_M_R,Grassland,7,0,0,1,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXU_M_R,Built-up,3,0,0,0,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXU_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
