Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R,Grassland,61,23,27,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R,Non_Wetland,3,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R,Wetland,233,5,1,0,88,371,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R,Water,390,40,8,108,0,408,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R,Shrubland,4,3,2,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R,Cropland,11,3,6,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R,Bareland,10,0,11,1,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R,Built-up,15,8,0,0,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNU_M_R,Forest,0,57,83,15,93,361,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,Non_Wetland,1,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,Grassland,47,46,0,114,31,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,Water,76,32,0,412,0,78,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,Forest,0,126,0,503,278,251,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,Shrubland,4,1,0,4,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,Cropland,4,2,0,4,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,Wetland,20,15,0,0,183,58,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,Bareland,30,0,0,12,12,19,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNU_M_R,Built-up,8,19,0,10,5,15,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNU_M_R,Grassland,0,0,0,23,6,0,0,174,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNU_M_R,Wetland,0,0,0,0,24,0,0,311,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNU_M_R,Forest,0,0,0,187,58,0,0,853,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNU_M_R,Water,0,0,0,267,0,0,0,380,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNU_M_R,Shrubland,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNU_M_R,Cropland,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNU_M_R,Bareland,0,0,0,3,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNU_M_R,Built-up,0,0,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,Non_Wetland,0,0,0,3,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,Bareland,0,0,0,3,53,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNU_M_R,Forest,0,4,0,503,332,537,0,0,0,0,0
