Dataset,MajorityClass,Non_Wetland,Water,Wetland,Forest,Grassland,Shrubland,Bareland,Built-up,Lichens_and_Mosses,Cropland,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLD_M_R,Wetland,155,16,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLD_M_R,Grassland,13,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLD_M_R,Water,241,0,84,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLD_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLD_M_R,Forest,283,14,55,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLD_M_R,Wetland,0,36,0,142,116,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLD_M_R,Water,0,0,120,194,105,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLD_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLD_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLD_M_R,Forest,0,8,8,0,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLD_M_R,Wetland,0,197,0,11,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLD_M_R,Grassland,0,5,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLD_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLD_M_R,Water,0,0,192,30,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLD_M_R,Forest,0,113,206,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLD_M_R,Wetland,0,16,0,41,46,8,31,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLD_M_R,Water,0,0,84,79,90,7,80,5,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLD_M_R,Forest,0,14,55,0,52,32,53,5,3,5,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLD_M_R,Wetland,0,171,0,4,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLD_M_R,Grassland,0,8,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLD_M_R,Forest,0,101,142,0,16,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLD_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLD_M_R,Water,0,0,140,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLD_M_R,Wetland,0,65,0,0,0,0,0,0,0,0,75
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLD_M_R,Water,0,0,0,0,0,0,0,0,0,0,106
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLD_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLD_M_R,Forest,0,39,0,0,0,0,0,0,0,0,28
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLD_M_R,Water,0,0,171,9,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLD_M_R,Forest,0,109,81,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLD_M_R,Wetland,0,57,0,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLD_M_R,Grassland,0,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLD_M_R,Wetland,0,57,0,240,11,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLD_M_R,Forest,0,0,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLD_M_R,Water,0,0,62,234,1,0,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLD_M_R,Grassland,0,0,2,10,0,0,0,0,0,0,0
