Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Cropland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Grassland,375,53,64,91,22,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Non_Wetland,4,2,0,1,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Cropland,139,0,16,32,0,0,161,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Wetland,219,0,6,4,2,46,314,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Bareland,95,3,0,46,1,2,220,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Built-up,115,0,27,0,0,0,151,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Water,343,107,70,4,0,0,407,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Forest,0,42,19,81,0,47,584,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Shrubland,14,1,1,5,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Lichens_and_Mosses,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKT_M_R,Non_Wetland,2,5,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKT_M_R,Grassland,168,121,108,82,0,40,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKT_M_R,Cropland,54,23,20,9,0,1,131,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKT_M_R,Wetland,136,0,11,4,0,91,335,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKT_M_R,Bareland,35,4,0,26,0,32,166,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKT_M_R,Built-up,36,14,62,0,0,2,95,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKT_M_R,Water,143,147,12,3,0,0,465,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKT_M_R,Forest,0,341,88,96,0,71,759,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKT_M_R,Shrubland,5,3,5,3,0,2,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKT_M_R,Grassland,0,119,0,0,0,20,0,0,445,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKT_M_R,Wetland,0,0,0,0,0,2,0,0,146,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKT_M_R,Forest,0,219,0,0,0,58,0,0,699,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKT_M_R,Shrubland,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKT_M_R,Water,0,243,0,0,0,0,0,0,266,0,0,0
