Dataset,MajorityClass,Bareland,Forest,Built-up,Water,Grassland,Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R,Grassland,26,80,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R,Shrubland,4,6,1,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R,Forest,92,0,17,63,244,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R,Cropland,1,4,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R,Wetland,6,75,0,26,36,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R,Built-up,6,13,0,0,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R,Water,62,288,1,0,115,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R,Bareland,0,4,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R,Permanent_ice_and_snow,3,8,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,Grassland,11,61,5,6,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,Shrubland,0,5,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,Forest,23,0,31,131,216,209,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,Cropland,1,2,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,Wetland,1,20,0,10,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,Built-up,2,9,0,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,Water,0,131,0,0,78,155,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,Bareland,0,1,0,1,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R,Permanent_ice_and_snow,0,0,0,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,Forest,32,0,0,143,374,308,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,Shrubland,1,0,0,5,3,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,Grassland,8,26,0,14,0,55,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,Cropland,1,0,0,0,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,Wetland,4,10,0,6,49,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,Built-up,3,2,0,0,10,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,Water,12,43,0,0,185,166,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,Bareland,0,1,0,1,9,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R,Permanent_ice_and_snow,0,0,0,5,7,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,Grassland,8,65,2,4,0,14,69,19,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,Forest,52,0,65,102,173,152,173,45,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R,Built-up,10,5,0,0,14,0,12,4,0,0,0,0
