Dataset,MajorityClass,Bareland,Forest,Built-up,Cropland,Wetland,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Grassland,21,155,15,25,134,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Non_Wetland,1,5,0,0,7,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Bareland,0,58,16,1,77,322,82,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Built-up,96,146,0,0,78,303,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Water,155,193,13,5,416,286,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Forest,77,0,57,50,452,631,97,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Wetland,75,217,18,5,0,478,138,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Shrubland,3,13,4,0,11,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Cropland,17,83,20,0,41,166,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Lichens_and_Mosses,1,0,1,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWH_M_R,Permanent_ice_and_snow,3,3,0,0,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Non_Wetland,4,3,0,0,10,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Grassland,68,96,33,0,178,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Wetland,160,69,25,0,0,16,413,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Bareland,0,12,44,0,48,26,134,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Built-up,75,21,0,0,75,38,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Water,129,87,29,0,195,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Forest,158,0,72,0,555,242,249,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Shrubland,11,5,4,0,9,5,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Cropland,23,33,13,0,48,79,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWH_M_R,Permanent_ice_and_snow,15,0,0,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,Wetland,0,0,0,0,0,0,20,0,971,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,Grassland,0,0,0,0,36,0,0,0,432,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,Forest,0,0,0,0,259,0,17,0,1193,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,Built-up,0,0,0,0,53,0,0,0,205,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,Bareland,0,0,0,0,155,0,9,0,160,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,Shrubland,0,0,0,0,0,0,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWH_M_R,Water,0,0,0,0,372,0,0,0,479,0,0,0
