Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Cropland,Water,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_19NDF_M_R,Shrubland,3,1,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDF_M_R,Grassland,0,14,4,2,20,1,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDF_M_R,Cropland,25,3,4,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDF_M_R,Wetland,74,0,4,0,39,0,19,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDF_M_R,Bareland,35,4,0,1,10,0,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDF_M_R,Built-up,8,0,5,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDF_M_R,Water,103,50,36,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDF_M_R,Forest,62,28,13,1,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDF_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDF_M_R,Grassland,0,9,0,0,0,0,2,47,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDF_M_R,Forest,0,24,0,0,0,0,16,63,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDF_M_R,Cropland,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDF_M_R,Wetland,0,0,0,0,0,0,8,57,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDF_M_R,Water,0,45,0,0,0,0,0,38,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDF_M_R,Bareland,0,15,0,0,0,0,7,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDF_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDF_M_R,Grassland,0,0,0,0,0,0,34,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDF_M_R,Wetland,0,0,0,0,0,0,63,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDF_M_R,Water,0,0,0,0,0,0,0,0,78,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDF_M_R,Forest,0,0,0,0,0,0,47,0,28,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDF_M_R,Cropland,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDF_M_R,Bareland,0,0,0,0,0,0,25,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDF_M_R,Cropland,14,0,4,3,7,0,0,0,0,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDF_M_R,Wetland,27,0,0,0,21,0,8,0,0,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDF_M_R,Bareland,20,15,0,2,2,0,7,0,0,29
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDF_M_R,Built-up,5,0,3,0,1,0,0,0,0,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDF_M_R,Water,59,45,10,2,39,0,0,0,0,36
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDF_M_R,Forest,55,24,17,12,0,10,16,0,0,49
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDF_M_R,Grassland,0,9,3,4,18,5,2,0,0,19
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDF_M_R,Grassland,0,29,2,7,26,32,24,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDF_M_R,Wetland,0,0,8,0,25,10,37,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDF_M_R,Water,0,44,28,0,28,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDF_M_R,Forest,0,34,4,8,0,18,44,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDF_M_R,Cropland,0,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDF_M_R,Bareland,0,0,0,1,13,2,17,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDF_M_R,Cropland,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDF_M_R,Wetland,22,0,14,0,44,7,40,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDF_M_R,Bareland,1,0,0,0,1,0,5,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDF_M_R,Water,5,17,30,0,59,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDF_M_R,Forest,11,7,8,0,0,4,13,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDF_M_R,Built-up,1,0,0,0,4,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDF_M_R,Grassland,0,7,11,0,13,9,8,0,0,0
