Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Cropland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MWS_M_R,Shrubland,3,3,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWS_M_R,Grassland,0,25,9,1,1,10,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWS_M_R,Cropland,83,47,2,13,2,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWS_M_R,Wetland,105,82,0,4,1,5,68,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWS_M_R,Bareland,33,33,3,0,1,1,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWS_M_R,Built-up,19,19,0,11,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWS_M_R,Water,170,144,43,41,1,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWS_M_R,Forest,114,0,29,35,6,19,65,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWS_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWS_M_R,Grassland,0,0,0,0,0,0,53,13,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWS_M_R,Wetland,0,0,0,0,0,0,116,51,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWS_M_R,Bareland,0,0,0,0,0,0,48,24,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWS_M_R,Built-up,0,0,0,0,0,0,16,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWS_M_R,Water,0,0,0,0,0,0,0,157,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWS_M_R,Forest,0,0,0,0,0,0,139,56,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWS_M_R,Cropland,0,0,0,0,0,0,51,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWS_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWS_M_R,Grassland,0,0,12,0,0,0,5,0,36,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWS_M_R,Bareland,0,0,14,0,0,0,7,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWS_M_R,Forest,0,0,40,0,0,0,21,0,94,0,0,0
