Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Shrubland,279,57,64,39,132,38,73,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Grassland,0,138,62,30,207,15,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Non_Wetland,12,0,0,0,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Bareland,176,60,0,27,72,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Water,624,15,104,8,375,218,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Forest,706,177,73,32,0,88,225,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Cropland,590,0,187,95,319,3,51,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Wetland,176,4,3,0,94,0,71,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Built-up,118,36,35,0,87,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBK_M_R,Permanent_ice_and_snow,1,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBK_M_R,Non_Wetland,6,0,0,0,3,12,3,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBK_M_R,Shrubland,81,0,32,3,20,50,43,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBK_M_R,Grassland,0,0,56,17,86,89,52,268,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBK_M_R,Cropland,576,0,198,16,155,73,57,510,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBK_M_R,Wetland,62,0,0,0,55,0,277,123,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBK_M_R,Bareland,140,0,0,6,8,2,22,74,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBK_M_R,Built-up,84,0,80,0,2,1,8,62,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBK_M_R,Water,279,0,25,0,140,100,0,481,0,0,0
