Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R,Shrubland,3,3,3,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R,Grassland,0,12,31,2,1,11,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R,Cropland,64,0,69,3,11,31,28,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R,Wetland,93,19,0,36,2,65,69,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R,Built-up,18,9,18,9,0,10,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R,Water,86,21,135,53,2,62,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R,Forest,59,19,69,17,8,0,34,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R,Bareland,15,3,19,0,0,2,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R,Permanent_ice_and_snow,2,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,Grassland,0,0,10,0,0,0,2,41,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,Cropland,0,0,26,0,0,0,5,89,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,Forest,0,0,32,0,0,0,13,109,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,Wetland,0,0,0,0,0,0,20,183,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,Bareland,0,0,3,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,Built-up,0,0,2,0,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,Water,0,0,43,0,0,0,0,99,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,Shrubland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,Cropland,0,0,0,0,0,0,78,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,Wetland,0,0,0,0,0,0,110,0,51,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,Water,0,0,0,0,0,0,0,0,107,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,Forest,0,0,0,0,0,0,61,0,24,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,Bareland,0,0,0,0,0,0,14,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,Built-up,0,0,0,0,0,0,14,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,Grassland,0,0,0,0,0,0,21,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWG_M_R,Water,6,44,57,3,28,69,0,0,0,96,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWG_M_R,Cropland,16,0,26,0,15,62,5,0,0,66,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWG_M_R,Wetland,6,42,0,0,4,56,21,0,0,66,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWG_M_R,Bareland,1,2,3,0,3,20,0,0,0,23,0
