Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Lichens_and_Mosses,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R,Shrubland,3,2,1,2,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R,Grassland,0,18,0,24,15,3,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R,Cropland,47,0,0,25,20,1,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R,Wetland,25,2,0,20,0,10,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R,Bareland,50,13,0,0,14,15,49,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R,Built-up,13,10,0,13,0,5,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R,Water,150,17,1,106,16,0,129,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R,Forest,75,21,1,50,21,15,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R,Permanent_ice_and_snow,16,3,0,10,3,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTG_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTG_M_R,Wetland,0,0,0,0,0,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTG_M_R,Grassland,0,0,3,0,0,5,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTG_M_R,Bareland,0,0,10,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTG_M_R,Built-up,0,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTG_M_R,Water,0,0,38,0,0,0,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTG_M_R,Forest,0,0,17,0,0,15,0,0,20,0,0,0
